公司,Data Field,2015/12/31,2016/12/30
4130 健亞,資產總額,"2,517,262","2,646,322"
4131 晶宇,資產總額,"171,469","169,927"
4138 曜亞,資產總額,"2,165,234","2,269,251"
4139 馬光-KY,資產總額,"1,257,059","1,069,067"
4147 中裕,資產總額,"4,926,437","4,801,776"
4152 台微體,資產總額,"2,744,871","2,098,906"
4153 鈺緯,資產總額,"1,713,385","1,450,930"
4154 康樂-KY,資產總額,"321,384","379,242"
4157 太景*-KY,資產總額,"625,463","823,447"
4160 創源,資產總額,"380,657","382,392"
4161 聿新科,資產總額,"1,445,063","1,515,888"
4162 智擎,資產總額,"3,238,582","3,959,261"
4163 鐿鈦,資產總額,"2,301,123","2,826,274"
4167 展旺,資產總額,"3,245,194","3,436,648"
4168 醣聯,資產總額,"2,185,988","2,036,547"
4171 瑞基,資產總額,"510,862","554,400"
4173 久裕,資產總額,"6,018,937","6,793,459"
4174 浩鼎,資產總額,"7,310,996","6,328,077"
4175 杏一,資產總額,"1,774,938","2,311,205"
4183 福永生技,資產總額,"338,976","389,264"
4188 安克,資產總額,"382,302","756,064"
4192 杏國,資產總額,"1,027,267","1,114,813"
4198 環瑞醫,資產總額,"1,749,022","1,257,072"
4205 中華食,資產總額,"1,503,365","1,600,777"
4207 環泰,資產總額,"4,279,295","4,378,409"
4303 信立,資產總額,"1,036,907","1,024,221"
4304 勝昱,資產總額,"782,977","728,692"
4305 世坤,資產總額,"1,131,865","1,167,067"
4401 東隆興,資產總額,"4,776,891","4,787,978"
4402 福大,資產總額,"1,174,708","976,790"
4406 新昕纖,資產總額,"713,309","726,115"
4413 飛寶企業,資產總額,"59,464","63,419"
4415 台原藥,資產總額,"90,081","74,450"
4416 三圓,資產總額,"6,947,625","8,755,996"
4417 金洲,資產總額,"3,594,180","3,683,269"
4419 元勝,資產總額,"175,517","182,221"
4420 光明,資產總額,"960,462","1,054,721"
4429 聚紡,資產總額,"1,371,167","1,323,559"
4430 耀億,資產總額,"2,867,456","2,883,262"
4432 銘旺實,資產總額,"1,950,568","1,834,818"
4433 興采,資產總額,"1,113,949","1,450,995"
4502 健信,資產總額,"2,316,732","2,209,434"
4503 金雨,資產總額,"394,174","391,913"
4506 崇友,資產總額,"6,802,845","6,208,600"
4510 高鋒,資產總額,"4,182,238","4,407,347"
4513 福裕,資產總額,"2,917,582","2,432,350"
4523 永彰,資產總額,"2,885,746","2,915,519"
4527 方土霖,資產總額,"2,199,018","2,402,217"
4528 江興鍛,資產總額,"3,176,714","3,283,879"
4529 淳紳,資產總額,"5,532,283","2,326,757"
4530 宏易,資產總額,"384,860","347,573"
4533 協易機,資產總額,"5,779,679","5,831,244"
4534 慶騰,資產總額,"1,765,684","2,492,171"
4535 至興,資產總額,"3,250,119","3,171,341"
4538 大詠城,資產總額,"809,136","761,973"
4541 晟田,資產總額,"2,880,291","2,952,106"
4542 科嶠,資產總額,"763,114","731,031"
4543 萬在,資產總額,"1,953,960","1,965,916"
4549 桓達,資產總額,"1,426,336","1,474,199"
4550 長佳,資產總額,"1,476,774","1,808,125"
4554 橙的,資產總額,"512,670","642,797"
4556 旭然,資產總額,"887,307","996,977"
4561 健椿,資產總額,"1,402,648","1,515,270"
4563 百德,資產總額,"2,466,726","2,302,779"
4568 科際精密,資產總額,"698,153","1,232,733"
4609 唐鋒,資產總額,"868,138","805,352"
4702 中美實,資產總額,"3,902,206","2,893,361"
4706 大恭,資產總額,"1,756,129","1,816,373"
4707 磐亞,資產總額,"6,252,648","6,501,289"
4711 永純,資產總額,"1,405,189","1,487,752"
4712 南璋,資產總額,"623,043","727,902"
4714 永捷,資產總額,"1,172,636","1,254,901"
4716 大立,資產總額,"1,145,600","1,164,384"
4721 美琪瑪,資產總額,"1,679,966","1,694,072"
4726 永昕,資產總額,"1,518,386","1,389,348"
4728 雙美,資產總額,"602,573","597,488"
4729 熒茂,資產總額,"4,599,956","5,131,167"
4735 豪展,資產總額,"782,039","825,260"
4736 泰博,資產總額,"4,337,644","5,067,265"
4741 泓瀚,資產總額,"1,211,837","1,122,214"
4743 合一,資產總額,"2,807,303","2,555,655"
4744 皇將,資產總額,"1,101,456","1,570,707"
4745 合富-KY,資產總額,"3,647,667","3,411,635"
4747 強生,資產總額,"917,566","955,501"
4754 國碳科,資產總額,"341,585","419,676"
4760 勤凱,資產總額,"502,981","598,095"
4767 誠泰科技,資產總額,"1,184,817","1,239,126"
4803 VHQ-KY,資產總額,"1,395,611","2,542,809"
4804 大略-KY,資產總額,"1,082,010","1,145,662"
4806 昇華,資產總額,"1,081,026","1,404,654"
4903 聯光通,資產總額,"1,371,658","1,205,269"
4905 台聯電,資產總額,"4,355,134","3,339,587"
4907 富宇,資產總額,"4,158,138","4,669,501"
4908 前鼎,資產總額,"1,314,471","1,428,192"
4909 新復興,資產總額,"3,240,959","3,474,347"
4911 德英,資產總額,"893,877","848,073"
4924 欣厚-KY,資產總額,"615,210","502,044"
4931 新盛力,資產總額,"1,031,484","1,197,611"
4933 友輝,資產總額,"4,674,336","3,563,812"
4939 亞電,資產總額,"2,416,106","1,966,066"
4944 兆遠,資產總額,"5,573,052","4,825,589"
4946 辣椒,資產總額,"743,325","576,696"
4947 昂寶-KY,資產總額,"3,597,623","4,119,880"
4950 牧東,資產總額,"1,986,967","2,522,853"
4953 緯軟,資產總額,"1,852,061","1,794,336"
4966 譜瑞-KY,資產總額,"8,241,743","9,857,972"
4971 IET-KY,資產總額,"1,563,293","1,579,095"
4972 湯石照明,資產總額,"1,469,556","1,422,805"
4973 廣穎,資產總額,"2,421,068","2,187,610"
4974 亞泰,資產總額,"2,737,304","2,986,307"
4979 華星光,資產總額,"3,952,495","3,383,688"
4987 科誠,資產總額,"1,219,648","1,159,105"
4991 環宇-KY,資產總額,"2,653,367","2,886,807"
4995 晶達,資產總額,"996,607","1,111,373"
5009 榮剛,資產總額,"18,348,406","18,638,374"
5011 久陽,資產總額,"998,616","1,200,970"
5013 強新,資產總額,"4,732,900","5,693,252"
5014 建錩,資產總額,"7,092,597","8,160,912"
5015 華祺,資產總額,"1,615,358","1,652,126"
5016 松和,資產總額,"2,538,348","2,707,222"
5102 富強,資產總額,"1,297,551","1,251,682"
5201 凱衛,資產總額,"437,780","401,193"
5202 力新,資產總額,"586,002","595,792"
5205 中茂,資產總額,"49,364","104,792"
5206 坤悅,資產總額,"4,447,732","4,379,991"
5209 新鼎,資產總額,"1,171,175","1,153,260"
5210 寶碩,資產總額,"919,856","1,024,705"
5211 蒙恬,資產總額,"605,438","601,892"
5212 凌網,資產總額,"621,581","644,867"
5213 亞昕,資產總額,"25,352,495","25,811,572"
5220 萬達光電,資產總額,"789,821","853,684"
5223 安力-KY,資產總額,"2,255,003","2,262,230"
5227 立凱-KY,資產總額,"2,609,114","3,834,377"
5230 雷笛克光學,資產總額,"2,531,413","2,167,432"
5245 智晶,資產總額,"1,096,281","1,677,567"
5251 天鉞電,資產總額,"856,425","836,892"
5263 智崴,資產總額,"3,148,038","3,290,844"
5272 笙科,資產總額,"934,936","1,134,406"
5274 信驊,資產總額,"1,207,028","2,621,227"
5276 達輝-KY,資產總額,"852,249","867,254"
5278 尚凡,資產總額,"248,726","274,475"
5281 大峽谷-KY,資產總額,"1,072,510","1,123,899"
5287 數字,資產總額,"2,238,736","2,676,490"
5289 宜鼎,資產總額,"3,553,222","4,229,050"
5291 邑昇,資產總額,"1,192,708","1,207,548"
5299 杰力,資產總額,"561,035","651,872"
5301 寶得利,資產總額,"2,215,352","1,858,462"
5302 太欣,資產總額,"2,134,546","2,115,988"
5304 鼎創達,資產總額,"4,207,432","4,004,475"
5306 桂盟,資產總額,"6,968,826","8,564,860"
5309 系統電,資產總額,"3,878,476","2,907,471"
5310 天剛,資產總額,"1,069,758","978,526"
5312 寶島科,資產總額,"4,138,085","4,252,780"
5314 世紀,資產總額,"492,970","368,862"
5315 光聯,資產總額,"1,633,535","2,097,564"
5321 友銓,資產總額,"847,521","831,064"
5324 士開,資產總額,"2,582,433","3,512,595"
5328 華容,資產總額,"2,338,358","2,428,319"
5340 建榮,資產總額,"1,801,070","1,944,025"
5344 立衛,資產總額,"704,058","650,174"
5345 天揚,資產總額,"574,126","489,126"
5347 世界,資產總額,"32,384,241","34,980,042"
5348 系通,資產總額,"286,901","217,154"
5349 先豐,資產總額,"6,677,524","6,920,218"
5351 鈺創,資產總額,"8,249,446","8,127,342"
5353 台林,資產總額,"1,653,615","1,576,066"
5355 佳總,資產總額,"2,314,077","2,283,572"
5356 協益,資產總額,"8,120,849","7,578,005"
5364 力麗店,資產總額,"763,086","881,187"
5371 中光電,資產總額,"53,848,417","50,353,429"
5381 合正,資產總額,"628,799","536,171"
5383 金利,資產總額,"1,878,106","1,727,308"
5386 青雲,資產總額,"243,582","322,573"
5392 應華,資產總額,"11,382,178","14,223,684"
5398 慕康生醫,資產總額,"343,085","769,128"
5403 中菲,資產總額,"2,723,794","2,759,504"
5410 國眾,資產總額,"2,035,579","1,861,651"
5425 台半,資產總額,"10,747,764","11,118,526"
5426 振發,資產總額,"2,836,068","2,835,419"
5432 達威,資產總額,"313,426","304,194"
5438 東友,資產總額,"2,936,264","2,790,924"
5439 高技,資產總額,"1,825,430","1,955,569"
5443 均豪,資產總額,"4,898,467","6,250,214"
5450 寶聯通,資產總額,"935,356","894,577"
5452 佶優,資產總額,"4,144,949","3,757,305"
5455 昇益,資產總額,"129,482","247,026"
5457 宣德,資產總額,"3,765,298","4,706,737"
5460 同協,資產總額,"1,308,928","1,218,575"
5464 霖宏,資產總額,"3,064,995","3,307,643"
5465 富驊,資產總額,"3,043,828","2,203,819"
5468 凱鈺,資產總額,"529,420","530,104"
5474 聰泰,資產總額,"937,083","1,064,754"
5475 德宏,資產總額,"5,592,979","4,087,469"
5478 智冠,資產總額,"10,341,246","11,300,890"
5481 新華,資產總額,"1,098,841","1,148,347"
5483 中美晶,資產總額,"46,186,336","83,014,408"
5487 通泰,資產總額,"579,461","597,569"
5488 松普,資產總額,"1,616,700","1,537,813"
5489 彩富,資產總額,"2,758,068","2,664,831"
5490 同亨,資產總額,"2,759,867","2,516,191"
5493 三聯,資產總額,"2,774,870","2,816,924"
5498 凱崴,資產總額,"2,724,868","2,848,013"
5508 永信建,資產總額,"6,043,793","6,157,216"
5511 德昌,資產總額,"6,556,007","6,444,422"
5512 力麒,資產總額,"32,385,222","34,569,588"
5514 三豐,資產總額,"2,237,187","2,379,943"
5516 雙喜,資產總額,"834,494","710,921"
5520 力泰,資產總額,"2,461,916","2,482,687"
5523 豐謙,資產總額,"3,272,481","4,020,203"
5529 志嘉,資產總額,"2,909,978","3,282,524"
5530 龍巖,資產總額,"47,509,021","50,976,428"
5536 聖暉,資產總額,"8,186,207","8,884,063"
5543 崇佑-KY,資產總額,"1,365,684","1,177,388"
5601 台聯櫃,資產總額,"1,860,091","1,839,163"
5603 陸海,資產總額,"2,381,468","2,321,973"
5604 中連貨,資產總額,"4,009,975","3,675,124"
5609 中菲行,資產總額,"4,037,114","4,247,754"
5701 劍湖山,資產總額,"3,940,789","3,761,499"
5703 亞都,資產總額,"1,476,666","1,425,375"
5704 老爺知,資產總額,"570,865","544,372"
5820 日盛金,資產總額,"268,509,166","285,011,594"
5864 致和證,資產總額,"4,097,384","4,377,053"
5878 台名,資產總額,"561,346","609,181"
5902 德記,資產總額,"1,184,515","1,227,546"
5903 全家,資產總額,"24,463,354","26,508,221"
5904 寶雅,資產總額,"5,669,727","6,463,830"
5905 南仁湖,資產總額,"4,688,021","4,473,546"
6015 宏遠證,資產總額,"11,239,084","9,605,668"
6016 康和證,資產總額,"33,948,449","28,631,599"
6020 大展證,資產總額,"4,506,279","4,380,118"
6021 大慶證,資產總額,"8,362,951","7,076,291"
6023 元大期,資產總額,"56,851,852","62,171,843"
6026 福邦證,資產總額,"3,562,374","4,071,262"
6101 寬魚國際,資產總額,"964,485","1,039,577"
6103 合邦,資產總額,"252,970","495,530"
6104 創惟,資產總額,"2,185,174","2,357,353"
6109 亞元,資產總額,"1,565,349","1,303,155"
6111 大宇資,資產總額,"720,829","934,815"
6113 亞矽,資產總額,"749,558","720,100"
6114 久威,資產總額,"1,534,619","1,942,047"
6118 建達,資產總額,"2,151,769","2,118,427"
6121 新普,資產總額,"43,703,290","44,234,126"
6122 擎邦,資產總額,"1,635,892","1,730,355"
6123 上奇,資產總額,"2,855,473","3,108,483"
6124 業強,資產總額,"3,082,597","3,434,023"
6125 廣運,資產總額,"15,603,384","13,912,523"
6126 信音,資產總額,"3,339,761","3,272,278"
6127 九豪,資產總額,"2,471,936","2,508,165"
6129 普誠,資產總額,"2,291,486","2,258,222"
6130 星寶國際,資產總額,"335,070","314,673"
6134 萬旭,資產總額,"1,594,254","1,418,892"
6138 茂達,資產總額,"2,634,520","3,114,236"
6140 訊達,資產總額,"831,562","863,638"
6143 振曜,資產總額,"10,549,963","11,181,824"
6144 得利影,資產總額,"782,988","685,873"
6146 耕興,資產總額,"4,360,610","4,530,661"
6147 頎邦,資產總額,"38,479,344","34,351,186"
6148 驊宏資,資產總額,"4,789,240","3,820,854"
6150 撼訊,資產總額,"1,220,165","1,429,784"
6151 晉倫,資產總額,"1,771,671","1,733,375"
6154 順發,資產總額,"1,779,779","1,900,006"
6156 松上,資產總額,"3,309,137","3,510,906"
6158 禾昌,資產總額,"3,649,076","3,640,904"
6160 欣技,資產總額,"1,201,258","1,218,452"
6161 捷波,資產總額,"2,223,104","1,875,757"
6163 華電網,資產總額,"3,287,597","3,735,199"
6167 久正,資產總額,"2,100,647","1,982,245"
6169 昱泉,資產總額,"584,493","428,455"
6170 統振,資產總額,"2,662,190","2,600,005"
6171 亞銳士,資產總額,"1,521,412","1,691,581"
6173 信昌電,資產總額,"3,719,577","3,993,231"
6174 安碁,資產總額,"669,562","740,659"
6175 立敦,資產總額,"3,647,750","3,548,664"
6179 亞通,資產總額,"1,063,320","1,573,416"
6180 橘子,資產總額,"8,316,676","7,910,166"
6182 合晶,資產總額,"15,574,896","12,978,936"
6185 幃翔,資產總額,"2,887,302","2,880,674"
6186 新潤,資產總額,"4,951,691","4,489,074"
6187 萬潤,資產總額,"2,191,496","2,519,137"
6188 廣明,資產總額,"18,756,533","16,886,077"
6190 萬泰科,資產總額,"3,298,223","3,542,430"
6194 育富,資產總額,"2,589,224","2,296,884"
6195 詩肯,資產總額,"1,546,947","1,663,369"
6198 凌泰,資產總額,"152,613","123,634"
