公司,Data Field,2015/12/31,2016/12/30
2321 東訊,資產總額,"2,497,573","2,899,978"
2323 中環,資產總額,"33,587,192","29,258,561"
2324 仁寶,資產總額,"327,925,575","347,016,111"
2327 國巨,資產總額,"47,547,893","51,666,809"
2328 廣宇,資產總額,"18,775,935","18,735,011"
2329 華泰,資產總額,"17,708,548","18,072,630"
2330 台積電,資產總額,"1,657,518,298","1,886,455,302"
2331 精英,資產總額,"26,244,275","23,384,524"
2332 友訊,資產總額,"21,262,619","19,390,896"
2337 旺宏,資產總額,"37,627,662","35,544,515"
2338 光罩,資產總額,"3,954,607","3,557,918"
2340 光磊,資產總額,"11,773,447","10,805,456"
2342 茂矽,資產總額,"2,593,483","2,262,562"
2344 華邦電,資產總額,"62,597,767","67,989,495"
2345 智邦,資產總額,"14,987,537","17,503,851"
2347 聯強,資產總額,"134,787,518","127,831,170"
2348 海悅,資產總額,"2,058,554","1,747,239"
2349 錸德,資產總額,"30,870,914","26,791,300"
2351 順德,資產總額,"9,914,853","10,076,478"
2352 佳世達,資產總額,"100,243,831","95,312,210"
2353 宏碁,資產總額,"171,742,203","165,674,062"
2354 鴻準,資產總額,"123,384,885","148,252,277"
2355 敬鵬,資產總額,"24,475,000","25,385,179"
2356 英業達,資產總額,"175,746,473","182,373,217"
2357 華碩,資產總額,"333,604,873","364,219,926"
2358 廷鑫,資產總額,"727,071","1,433,088"
2359 所羅門,資產總額,"6,150,946","5,935,325"
2360 致茂,資產總額,"16,060,439","18,632,778"
2362 藍天,資產總額,"122,464,077","112,918,757"
2363 矽統,資產總額,"7,189,723","6,714,928"
2364 倫飛,資產總額,"1,415,051","1,177,023"
2365 昆盈,資產總額,"6,117,818","5,580,013"
2367 燿華,資產總額,"19,295,626","19,838,908"
2368 金像電,資產總額,"22,187,354","21,733,241"
2369 菱生,資產總額,"9,669,256","9,681,335"
2371 大同,資產總額,"201,918,618","238,399,353"
2373 震旦行,資產總額,"14,658,819","15,977,040"
2374 佳能,資產總額,"14,017,403","13,022,679"
2375 智寶,資產總額,"2,682,049","4,025,156"
2376 技嘉,資產總額,"33,240,633","36,224,050"
2377 微星,資產總額,"46,530,869","50,467,784"
2379 瑞昱,資產總額,"46,947,448","55,519,808"
2380 虹光,資產總額,"3,968,719","3,657,747"
2382 廣達,資產總額,"531,574,219","587,430,061"
2383 台光電,資產總額,"17,707,829","19,232,775"
2385 群光,資產總額,"58,970,095","64,297,776"
2387 精元,資產總額,"16,133,630","13,857,806"
2388 威盛,資產總額,"10,520,368","9,808,191"
2390 云辰,資產總額,"3,485,790","3,148,992"
2392 正崴,資產總額,"75,925,131","67,989,924"
2393 億光,資產總額,"37,298,411","37,925,147"
2395 研華,資產總額,"33,979,133","38,538,953"
2397 友通,資產總額,"3,712,857","4,097,905"
2399 映泰,資產總額,"3,116,624","3,173,068"
2401 凌陽,資產總額,"15,599,007","14,629,022"
2402 毅嘉,資產總額,"11,336,668","10,263,047"
2404 漢唐,資產總額,"14,703,007","16,987,031"
2405 浩鑫,資產總額,"4,781,843","5,014,750"
2406 國碩,資產總額,"21,604,904","24,609,073"
2408 南亞科,資產總額,"104,006,037","136,977,142"
2409 友達,資產總額,"425,554,245","429,769,251"
2412 中華電,資產總額,"453,021,092","447,132,505"
2413 環科,資產總額,"4,637,384","4,213,995"
2414 精技,資產總額,"6,053,664","6,182,406"
