證券代碼,Data Field,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31
1262 綠悅-KY,現股當沖比重,4.06,2.01,0.97,4.42,5.83,8.15,5.28,4.92,17.21,11.42,15.39,10.15
1301 台塑,月報酬率 %,6.323,-1.7618,1.1209,2.6608,-2.268,0.2211,-1.1024,3.3447,2.7464,3.6425,-2.2365,0.109
1301 台塑,現股當沖比重,1.9,1.63,3.29,1.01,1.22,1.43,0.52,2.08,6.8,4.57,0.42,3.57
1303 南亞,月報酬率 %,2.1309,6.1106,3.2303,1.4967,-3.6192,1.1127,-1.5131,5.4468,6.767,0.2631,-1.5749,-0.7999
1303 南亞,現股當沖比重,1.31,1.98,0.88,1.37,0.83,0.99,2.01,2.22,2.63,11.69,12.53,9.44
1304 台聚,月報酬率 %,2.922,0.0002,0.6309,5.956,-6.5088,-4.1138,0.3301,1.9736,1.5956,0.669,-0.9968,0
1304 台聚,現股當沖比重,1.68,2.55,1.6,2.02,3.29,5.94,5.97,2.49,4.29,3.54,3.55,2.02
1305 華夏,月報酬率 %,8.1026,-12.4315,0.6265,9.3361,7.0209,-5.4965,3.7521,1.9888,11.8988,20.3448,-12.3208,-7.6796
1305 華夏,現股當沖比重,7.75,10.56,4.62,8.55,1.84,4.82,8.13,4.36,8.72,7.13,45.77,20.41
1307 三芳,月報酬率 %,1.7217,-0.2823,1.8387,-0.278,5.0139,-0.9284,-0.0001,3.0387,-1.5151,-0.2797,-1.1222,0.1417
1307 三芳,現股當沖比重,0,0,0,0,0,0,4.13,0.66,0,0,7,0
1308 亞聚,月報酬率 %,1.6393,2.4193,1.5748,-2.8423,-1.8616,0.542,-0.2695,2.4324,2.5992,1.6393,2.6883,-1.8327
1308 亞聚,現股當沖比重,0.68,0.23,1.48,0.75,0,2.95,2.65,0,2.36,0,0,2.23
1309 台達化,月報酬率 %,8.6205,18.4806,12.4404,-5.9574,-9.5023,-4.3,1.7763,1.3348,6.383,0.476,0.0001,1.4217
1309 台達化,現股當沖比重,4.89,7.19,13.82,9.98,4.96,3.2,0.9,3.85,46.62,6.22,17.58,15.46
1310 台苯,月報酬率 %,25.7484,-4.9999,3.5087,10.4118,8.7719,-6.6532,2.3759,0.1094,-3.0234,1.199,-5.6872,2.5126
1310 台苯,現股當沖比重,6.17,5.04,3.09,9.77,3.09,4.12,0.72,8.1,16.34,11.46,3.64,8.26
1312 國喬,月報酬率 %,20.1134,-0.9434,-3.0954,9.0908,-4.9549,-6.3982,4.557,2.6635,7.9276,16.9337,-8.6106,-2.1415
1312 國喬,現股當沖比重,2.77,5.08,5.43,8.69,4.43,6.17,4.29,7.46,14.13,12.04,12.43,10.13
1313 聯成,月報酬率 %,11.7119,0.8065,7.2,4.1045,-5.7347,-1.521,1.5443,3.0419,4.7969,12.4097,8.0267,3.7151
1313 聯成,現股當沖比重,3.86,0.2,6.84,0.75,0.36,0.1,3.21,2.27,1.77,5.62,2.39,5.6
1314 中石化,月報酬率 %,4.4297,4.9842,13.1314,8.4823,-4.5268,-1.7241,-0.8774,3.0974,8.1546,9.1272,1.8182,-3.9288
1314 中石化,現股當沖比重,14.73,9.03,17.92,20.2,12.52,35.59,5.99,10.4,12.27,25.61,20.76,15.4
1315 達新,月報酬率 %,-0.1993,1.5968,1.1788,1.7476,0.1907,-1.7144,-2.7131,6.3744,-0.8869,2.9585,-3.2567,0.0001
1315 達新,現股當沖比重,0,0,0,0,0,0,0,0,0,0,5.88,0
1316 上曜,月報酬率 %,-2.3148,1.4217,16.8785,16.7567,6.7128,8.243,1.8034,-1.9684,3.0121,-0.7797,8.4479,-1.9926
1316 上曜,現股當沖比重,2.19,0,0,10.43,5.06,14.59,6.4,2.9,0.59,5.48,16.88,0
1319 東陽,月報酬率 %,-7.3572,-6.6176,-9.2914,6.0764,-13.7482,-2.8461,7.6172,2.5406,3.0046,0.713,9.9114,1.2883
1319 東陽,現股當沖比重,11.34,9.83,7.62,4.89,8.3,2.81,19.24,6.8,9.7,14.49,24.88,7.98
1321 大洋,月報酬率 %,2.161,-4.8077,5.4545,3.4484,-3.3337,-5.7471,3.2522,2.5592,1.3434,14.015,-1.9936,-2.5422
1321 大洋,現股當沖比重,5.39,0,6.91,1.23,1.98,0.88,0,0,6.63,12.91,37.5,2.72
1323 永裕,月報酬率 %,0.8597,-3.9772,-1.923,2.1116,-1.3295,0.4492,-2.0863,0.9133,0.0827,6.5286,-4.7832,2.0406
1323 永裕,現股當沖比重,0.66,0,1.66,1.84,0,0,0,0,8.81,6.2,3.22,5.85
1324 地球,月報酬率 %,0,-0.0003,0.7661,0,-0.3802,-6.1068,7.317,0.3787,-1.5095,-1.2329,0.4001,5.976
1324 地球,現股當沖比重,13.48,2.47,0,0,0,0,13.16,0,3.51,0,0,28.56
1325 恒大,月報酬率 %,5.1152,-5.7352,0.2375,4.7393,-2.7148,-1.1629,0.7059,-3.271,-0.5025,-1.01,-0.5102,-1.0255
1325 恒大,現股當沖比重,0,0,0,0,8.87,27.12,5.77,2.63,12.73,0,0,0
1326 台化,月報酬率 %,6.3897,-3.6037,0.5191,0.4134,-2.8808,-1.6949,-1.6163,4.6005,1.1647,4.2858,-2.9504,-0.5429
1326 台化,現股當沖比重,1.48,2.87,2.51,0.32,0.39,0.62,3.58,2.95,0.94,2.83,3,4.94
1337 再生-KY,月報酬率 %,-0.2951,1.1559,-0.5715,0.5747,-8.0002,-8.0745,-6.7568,-2.5361,2.9737,-3.3056,-3.0073,-0.3876
1337 再生-KY,現股當沖比重,2.8,1.19,3.03,4.41,2.34,3.18,2.9,9.39,1.83,1.73,4.65,8.22
1338 廣華-KY,月報酬率 %,-14.5454,-0.2126,-3.3048,6.0639,2.5989,-0.8107,6.2306,3.3653,3.7916,5.1163,0.4425,1.7623
1338 廣華-KY,現股當沖比重,13.2,4.32,6.29,12.23,14.24,17.85,14.21,17.51,20.61,15.74,19.9,9.68
1339 昭輝,月報酬率 %,-8.8383,3.3242,4.8258,2.8135,11.5672,-4.5705,2.3364,5.0227,0.1086,3.2575,-11.1964,5.0678
1339 昭輝,現股當沖比重,0,0,1.18,0,13.02,21.37,4.21,0,0,4.49,14.84,2.56
1340 勝悅-KY,月報酬率 %,-0.8727,-4.2254,2.3897,0.0002,-0.1796,-10.0719,-1.9,8.2569,-2.0715,6.8389,-6.1677,1.724
1340 勝悅-KY,現股當沖比重,1.09,1.85,1.04,0,4.03,4.86,6.65,7.52,3.67,2.73,5.49,2.55
1341 富林-KY,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0
1341 富林-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1402 遠東新,月報酬率 %,-3.8855,2.9786,7.438,5.7693,-4.3638,-3.4219,-3.9372,1.4344,3.669,-2.8171,-0.207,7.2613
1402 遠東新,現股當沖比重,0.08,0.94,0.85,0.16,1.16,2.78,4.82,4.15,11.01,2.25,1.41,10.37
1409 新纖,月報酬率 %,8.0761,-0.5495,3.9782,7.3326,-2.6733,-7.8332,1.5452,0.0001,-0.3262,1.7391,0.1102,6.9306
1409 新纖,現股當沖比重,4.25,0.65,1.45,1.06,2.09,0.88,3.12,3.81,1.02,3.6,2.71,8.4
1410 南染,月報酬率 %,0.2049,0.0001,7.1574,0,-1.3356,-3.2881,-2.2,0.6134,0.5845,2.1459,-0.2099,0.8421
1410 南染,現股當沖比重,0,0,2.89,2.49,0,0,0,1.62,0,0,0,0
1413 宏洲,月報酬率 %,2.0833,-4.932,2.5044,0.3489,4.3479,0.0002,5.8334,3.622,16.8692,-1.4303,1.4511,7.9326
