證券代碼,Data Field,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31
2740 天蔥,月報酬率 %,-4.9259,-2.0728,-1.2345,4.2858,-4.452,-5.0179,-0.1887,-4.5368,-5.3465,0.4185,12.4998,22.0369
2740 天蔥,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
2745 五福,月報酬率 %,2.505,-3.0255,-2.8,6.9958,8.0769,1.4236,35.0878,3.8959,-5.5001,-0.8029,1.8816,0.2638
2745 五福,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
2752 豆府,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0
2752 豆府,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
2916 滿心,月報酬率 %,-3.7266,0.3226,-2.1943,5.7692,0.303,-2.7189,-0.9316,2.936,-2.5478,0.3268,0.3256,3.8961
2916 滿心,現股當沖比重,0,0,0,0,0,7.14,0,7.68,0,0,0,0
2924 東凌-KY,月報酬率 %,0.9345,0.0001,0.3705,0,0.5535,0.1835,0.3663,0.9124,1.9891,0.5366,4.0925,-2.2223
2924 東凌-KY,現股當沖比重,0,0,0,0,0,0,73.91,74.04,61.96,70.2,88.72,12.5
2926 誠品生活,月報酬率 %,-4.6449,-9.4555,-2.8482,-0.6516,-0.9835,-3.3113,5.8221,1.2498,-0.6711,-8.7837,2.2223,0.0001
2926 誠品生活,現股當沖比重,0,6.42,0,8.26,0,2.43,0,3.32,0,2.77,0,0
2928 紅馬-KY,月報酬率 %,-2.6466,27.5728,5.7839,-9.3528,20.0003,60.7137,-12.3457,-11.8749,13.8614,-4.8307,-17.3604,-21.4988
2928 紅馬-KY,現股當沖比重,0,0,5.95,2.33,0.39,28.28,7.37,25.26,25.7,8.45,8.42,18.6
2937 集雅社,月報酬率 %,-4.6333,-0.2098,1.2258,3.8061,11.6665,-4.4478,6.2169,0.3576,-9.0165,-6.8889,-1.1934,1.4491
2937 集雅社,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3064 泰偉,月報酬率 %,6.2836,-8.1082,-5.8825,-11.7186,-15.4869,26.7016,-20.6612,-10.1562,-6.0869,-7.0988,1.661,-11.1109
3064 泰偉,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3066 李洲,月報酬率 %,-4.2169,14.6227,-14.952,-1.9356,16.283,22.2065,-12.037,5.1318,-13.6422,-4.3478,16.9699,-6.088
3066 李洲,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
