證券代碼,Data Field,2015/7/31,2015/8/31,2015/9/30,2015/10/30,2015/11/30,2015/12/31,2016/1/30,2016/2/26,2016/3/31,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31
1795 美時,月報酬率 %,-0.685,-16.138,18.4211,4.3055,6.2582,-12.9075,-2.8775,0.4444,-3.6875,3.0629,-4.012,-3.096,0.7987,-6.8146
1795 美時,現股當沖比重,20.44,18.9,0,16.68,18.41,12.25,11.28,16.69,11.61,8.68,4.64,4.48,7.49,0
1796 金穎生技,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,-3.4091,-3.5179
1796 金穎生技,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1799 易威,月報酬率 %,23.1518,-23.8548,24.0662,-2.8428,23.0636,-1.1188,-5.6578,1.3493,-4.7338,-1.2423,-1.2581,-9.8726,2.4736,-7.9311
1799 易威,現股當沖比重,0,0,0,0,0,0,0,0.85,0,0,10.26,1.53,0,0
1813 寶利徠,月報酬率 %,-10.4247,-3.8793,8.52,7.6448,12.0923,-6.1643,-2.9197,11.2782,-3.0409,-5.0524,3.1192,0.1779,-6.0159,0.4065
1813 寶利徠,現股當沖比重,0,0,0,0,0,0,0,6.98,3.22,3.7,0,0,0,0
1815 富喬,月報酬率 %,-1.9047,-7.5702,-1.6179,6.8859,4.808,0.4587,-8.2191,7.9602,5.5301,-9.607,5.3138,3.2109,19.1114,4.9291
1815 富喬,現股當沖比重,2.65,2.14,12.62,3.49,3.11,5.52,22.81,5.01,4.31,6.22,5.92,4.24,6.71,11.41
2035 唐榮,月報酬率 %,0.8265,-0.6148,-0.6186,-4.5644,-1.0869,-1.3187,-0.8911,2.6968,0.6566,-4.1305,3.1745,-1.5386,2.6785,0.6523
2035 唐榮,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061 風青,月報酬率 %,-12.4089,-12.5002,6.6666,-0.0001,13.8395,-2.745,-14.516,1.8869,1.852,-10,-4.9496,-10.7333,-5.9525,0.1267
2061 風青,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063 世鎧,月報酬率 %,-8.2534,-3.7656,0.8695,2.5863,2.9411,-3.2656,1.2659,13.125,8.656,1.0168,0.1678,-2.5124,-0.809,-1.1194
2063 世鎧,現股當沖比重,0,0,0,0,0,0,0,0,0,8.62,0,0,0,0
2064 晉椿,月報酬率 %,-8.3334,-6.8181,-3.9633,4.127,1.2195,1.2048,1.1903,2.6471,-0.2863,-2.2989,-1.7647,2.1645,-2.5236,8.0906
2064 晉椿,現股當沖比重,0,0,0,0,0,0,0,0,0,3.33,0,0,0,33.33
2065 世豐,月報酬率 %,0,0,0,0,0,0,0,0,7.1429,4.0001,16.3461,-8.4022,37.2664,-1.6216
2065 世豐,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066 世德,月報酬率 %,10.8491,-5.9798,-6.5716,-1.0194,13.2854,-7.2728,-0.4903,5.9112,0.0001,12.558,-5.372,4.3667,0.8371,-1.0199
2066 世德,現股當沖比重,1.71,4.16,3.91,0,3.16,2.44,0,0,0,18.94,7.58,1.69,2.83,2.76
2067 嘉鋼,月報酬率 %,-2.8572,-10.8455,-1.0791,7.6364,-0.6756,-3.7415,-1.06,0.3571,-0.3557,-1.4287,1.4494,-0.3571,18.2794,3.0304
2067 嘉鋼,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070 精湛,月報酬率 %,0,0,0,0,0,0,0,0,0,7.1286,-8.9345,5.3914,0.4286,-2.1338
2070 精湛,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2221 大甲,月報酬率 %,-19.5711,-1.3333,15.5148,17.6119,1.0152,-14.5728,-3.5294,11.2804,-4.3836,0.2865,-2.2859,-3.5087,7.5758,2.0153
2221 大甲,現股當沖比重,0,0,0,0,0,0,0,6.15,10.81,4.17,0,8.33,6.33,3.92
2230 泰茂,月報酬率 %,-7.7558,-16.0818,0.3485,5.9028,-4.5902,-3.4364,-0.356,0.3573,12.4553,-0.9494,-10.5431,5.357,5.7627,-6.9394
2230 泰茂,現股當沖比重,0,0,0,0,0,0,0,0,2.48,0,0,0,3.07,0
2235 謚源,月報酬率 %,-4.0909,-3.4886,10.0917,6.9447,14.7187,1.8866,-12.2223,1.6879,7.0541,-1.1627,1.9607,-0.3846,-5.2645,5.9323
2235 謚源,現股當沖比重,5.26,5.56,0,22.2,8.54,0,0,2.78,0,0,0,10.53,7.14,0
2596 綠意,月報酬率 %,-8.5495,-10.9272,0.3717,-4.4444,-0.7753,-1.9532,1.1951,0.7875,2.344,4.5801,0.0001,-1.46,8.8888,0.73
2596 綠意,現股當沖比重,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0
2640 大車隊,月報酬率 %,-16.3365,-7.0243,4.1135,3.1334,-10.0397,-5.1397,-10.9906,9.0435,-4.3061,-1.9998,-5.4421,-0.0001,1.7984,0.5712
2640 大車隊,現股當沖比重,1.68,0,0,0,0,0,0,1.36,4.88,5.71,0,0,1.23,0
2641 正德,月報酬率 %,0.675,-8.1277,-0.3361,1.5733,-2.1019,-6.1018,-14.4406,2.3909,5.0826,-1.6091,-6.8733,29.5225,22.9935,1.8348
2641 正德,現股當沖比重,0,0,0,0,0,0,0,1,11.28,2.59,19.95,6.55,3.66,23.73
2643 捷迅,月報酬率 %,4.3047,-4.6826,15.364,5.6968,86.0523,-17.8118,-11.9313,3.5695,23.8459,-3.5714,23.9936,0,16.8831,1.1717
2643 捷迅,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2718 晶悅,月報酬率 %,-1.5465,-12.6963,-5.0186,14.1025,-1.1234,-3.4091,1.6176,-8.2489,0.3157,0.1571,-5.4944,-0.9966,-6.7114,0.6968
2718 晶悅,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2719 燦星旅,月報酬率 %,-8.5543,-23.9034,2.8818,12.8851,-17.618,0.6024,4.7905,-2.2858,2.9242,-0.5683,-5.1428,-12.6507,-1.3794,-4.5452
2719 燦星旅,現股當沖比重,0,0,0,0,0,0,0,13.7,0,12.44,0,0,0,2.56
2724 富驛-KY,月報酬率 %,-11.2708,-21.8917,7.6124,14.7909,-18.4875,-3.4364,-7.4734,-1.5385,8.2029,-8.3031,-3.9371,-6.967,0,-17.1805
2724 富驛-KY,現股當沖比重,0,0,0,0,0,0,0,0,5.88,0,0,25,11.11,0
2726 雅茗-KY,月報酬率 %,4.3424,-0.5235,-4.2105,8.7914,18.9898,8.6588,15.4688,-8.6604,0.7407,-0.2941,0.2948,1.6177,-0.8683,10.365
2726 雅茗-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2729 瓦城,月報酬率 %,2.5569,-7.9496,2.7274,5.9733,-4.8017,2.1932,-7.2962,7.176,0.0002,-2.8075,-1.3334,1.3513,2.5211,1.3637
2729 瓦城,現股當沖比重,25,11.11,4.15,0,0,0,0,0,0,0,0,0,0,0
2732 六角,月報酬率 %,-10.6334,24.0698,-1,-11.1111,-1.1362,-1.724,-1.7544,-4.762,5.6249,0.1184,-2.1276,0.604,18.9084,0.363
2732 六角,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86
2734 易飛網,月報酬率 %,-8.7999,-8.1871,0.1501,8.4113,-17.2413,-3.5417,-7.9913,-1.4084,9.5237,-6.0872,-14.8148,-0.0002,16.576,-11.1888
2734 易飛網,現股當沖比重,0,0,0,0,0,0,0,61.3,0,0,12.7,2.83,0,0
2736 高野,月報酬率 %,2.8212,-6.4884,-8.1633,19.4666,7.9425,-5.1525,-7.5557,-1.6826,-0.2446,-6.8629,0,-7.6318,0.57,-19.9753
2736 高野,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52
2740 天蔥,月報酬率 %,-2.4,-9.2147,-6.6667,-4.9999,12.7821,20.9232,-13.4862,-4.706,-20.9878,-9.1799,0.6452,-14.7435,-3.5087,3.7568
2740 天蔥,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2745 五福,月報酬率 %,0,0,14.2856,5.8855,6.644,-1.8625,-16.2305,-1.5626,-3.9684,3.2892,-3.6965,-6.9458,-11.721,-19.4746
2745 五福,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2752 豆府,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2752 豆府,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2916 滿心,月報酬率 %,-3.9326,-4.3859,4.5871,5.5556,-0.2768,-0.0001,-4.7223,0.8746,9.2487,-3.7037,2.747,-3.082,-1.4879,-1.5103
2916 滿心,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2924 東凌-KY,月報酬率 %,-0.7874,-2.275,-0.4184,-3.7815,-14.1194,6.1015,-6.869,0.8579,-4.932,-2.8622,-4.6041,-1.3514,3.7183,1.3279
2924 東凌-KY,現股當沖比重,0,0,0,0,0,0,0,1.72,0,0,3.64,25,0,0
2926 誠品生活,月報酬率 %,-0.2041,-3.8219,0.6623,1.3157,10.7143,26.686,-4.6296,3.1553,-9.647,-3.6456,4.5947,-6.7182,10.1186,0.2743
2926 誠品生活,現股當沖比重,0,0,0,0,0,0,0,8.29,0,0,11.18,2.81,2.44,0
2928 紅馬-KY,月報酬率 %,0,0,0,0,0,0,57.4998,26.9844,-22.7501,28.3714,-0.5042,-1.5201,-10.5741,2.7343
2928 紅馬-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2937 集雅社,月報酬率 %,0,0,0,0,0,0,0,0,20.5883,17.0732,-17.9167,29.4418,-11.87,8.1818
2937 集雅社,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3064 泰偉,月報酬率 %,-6.1258,-40.5644,40.0591,-11.0168,-4.7618,-8.9998,7.9672,108.6513,33.4147,-33.2723,7.6714,-5.0891,-2.2791,-4.6638
3064 泰偉,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3066 李洲,月報酬率 %,-31.2716,16.0002,1.2933,0.7092,8.451,11.6882,-6.9769,-0.75,-3.5264,-2.2192,0.5341,-4.3823,-4.1668,0.7244
3066 李洲,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3067 全域,月報酬率 %,1.734,-29.5453,8.0645,12.6865,-16.8875,1.5937,-0.7844,-2.3716,4.4536,-3.876,-0.8064,1.2196,0.8031,11.5539
3067 全域,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3071 協禧,月報酬率 %,-4.2152,4.2488,-3.4934,5.1282,-8.1779,2.8123,-4.2554,3.9684,3.0533,2.0741,-6.5311,-0.6211,4.8436,18.4798
3071 協禧,現股當沖比重,0,0,0,0,0,0,0,1.33,0,0,0,14.46,0.65,17.44
3073 凱柏實業,月報酬率 %,-37.5917,4.8658,-16.4799,16.8583,-3.2789,1.6951,66.4998,-8.6084,-9.0909,-9.8796,-5.08,20.1406,78.1945,-7.5658
3073 凱柏實業,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3078 僑威,月報酬率 %,-11.9497,-7.1919,16.6052,12.3418,11.5493,15.1515,-4.8245,6.9123,1.0774,13.8592,-5.6181,30.9524,6.5041,-5.2792
3078 僑威,現股當沖比重,2.23,8.95,4.54,5.9,5.35,7.88,4.52,5.76,3.04,11.34,5.04,18.76,20.21,9.12
3081 聯亞,月報酬率 %,56.4285,-9.5889,24.7681,0.9455,-3.7472,19.7081,4.2681,10.9163,-8.0845,-9.1778,1.1581,-5.6193,12.2384,-10.3533
3081 聯亞,現股當沖比重,30.53,29.88,31.12,25.37,8.33,23.16,23,23.07,17.19,19.19,20.76,13.37,11.22,22.58
3083 網龍,月報酬率 %,-31.8183,-26.8086,15.1162,41.5824,-16.5278,19.3736,-5.7278,-2.2786,-1.943,-10.4358,2.6549,6.3218,-1.6214,12.7745
3083 網龍,現股當沖比重,6.23,11.96,8.71,0,0,0,0,17.94,6.13,4.04,6.29,5.9,5.29,16.89
