公司,Data Field,2013/12/31
2035 唐榮,ROA－綜合損益,-3.49
2038 海光,ROA－綜合損益,-0.71
2049 上銀,ROA－綜合損益,7.43
2059 川湖,ROA－綜合損益,20.61
2061 風青,ROA－綜合損益,-4.22
2062 橋椿,ROA－綜合損益,15.59
2063 世鎧,ROA－綜合損益,4.8
2064 晉椿,ROA－綜合損益,5.35
2065 世豐,ROA－綜合損益,8.16
2066 世德,ROA－綜合損益,18.65
2067 嘉鋼,ROA－綜合損益,4.22
2069 運錩,ROA－綜合損益,0
2070 精湛,ROA－綜合損益,0
2101 南港,ROA－綜合損益,4.43
2102 泰豐,ROA－綜合損益,6.2
2103 台橡,ROA－綜合損益,6.49
2104 國際中橡,ROA－綜合損益,6.51
2105 正新,ROA－綜合損益,13.25
2106 建大,ROA－綜合損益,13.37
2107 厚生,ROA－綜合損益,18.05
2108 南帝,ROA－綜合損益,6.72
2109 華豐,ROA－綜合損益,5.43
2114 鑫永銓,ROA－綜合損益,18.13
2115 六暉-KY,ROA－綜合損益,8.29
2201 裕隆,ROA－綜合損益,2.36
2204 中華,ROA－綜合損益,7.97
2206 三陽工業,ROA－綜合損益,1.12
2207 和泰車,ROA－綜合損益,6.91
2208 台船,ROA－綜合損益,1.8
2221 大甲,ROA－綜合損益,1.44
2227 裕日車,ROA－綜合損益,26.86
2228 劍麟,ROA－綜合損益,15.4
2230 泰茂,ROA－綜合損益,3.58
2231 為升,ROA－綜合損益,21.66
2233 宇隆,ROA－綜合損益,18.46
2235 謚源,ROA－綜合損益,7.86
2236 百達-KY,ROA－綜合損益,0
2239 英利-KY,ROA－綜合損益,13.93
2243 宏旭-KY,ROA－綜合損益,0
2301 光寶科,ROA－綜合損益,5.88
2302 麗正,ROA－綜合損益,2.75
2303 聯電,ROA－綜合損益,4.24
2305 全友,ROA－綜合損益,4.78
2308 台達電,ROA－綜合損益,13.09
2312 金寶,ROA－綜合損益,-8.68
2313 華通,ROA－綜合損益,6.41
2314 台揚,ROA－綜合損益,-11.87
2316 楠梓電,ROA－綜合損益,5.33
2317 鴻海,ROA－綜合損益,6.05
2321 東訊,ROA－綜合損益,1.45
2323 中環,ROA－綜合損益,-7.73
2324 仁寶,ROA－綜合損益,1.12
2327 國巨,ROA－綜合損益,5.45
2328 廣宇,ROA－綜合損益,1.16
2329 華泰,ROA－綜合損益,-1.51
2330 台積電,ROA－綜合損益,18.38
2331 精英,ROA－綜合損益,11.15
2332 友訊,ROA－綜合損益,3.3
2337 旺宏,ROA－綜合損益,-10.74
2338 光罩,ROA－綜合損益,1.56
2340 光磊,ROA－綜合損益,4.04
2342 茂矽,ROA－綜合損益,-17.63
2344 華邦電,ROA－綜合損益,3.31
2345 智邦,ROA－綜合損益,4.84
2347 聯強,ROA－綜合損益,4.01
2348 海悅,ROA－綜合損益,39.14
2349 錸德,ROA－綜合損益,-6.75
2351 順德,ROA－綜合損益,6.66
2352 佳世達,ROA－綜合損益,3.63
2353 宏碁,ROA－綜合損益,-8.76
2354 鴻準,ROA－綜合損益,8.74
2355 敬鵬,ROA－綜合損益,9.42
2356 英業達,ROA－綜合損益,3.63
2357 華碩,ROA－綜合損益,9.19
2358 廷鑫,ROA－綜合損益,-14.21
2359 所羅門,ROA－綜合損益,5.64
2360 致茂,ROA－綜合損益,12.18
2362 藍天,ROA－綜合損益,6.46
2363 矽統,ROA－綜合損益,-0.75
2364 倫飛,ROA－綜合損益,-10.56
2365 昆盈,ROA－綜合損益,2.24
2367 燿華,ROA－綜合損益,1.89
2368 金像電,ROA－綜合損益,-3.37
2369 菱生,ROA－綜合損益,4.76
2371 大同,ROA－綜合損益,-2.19
2373 震旦行,ROA－綜合損益,14.02
2374 佳能,ROA－綜合損益,2.99
2375 智寶,ROA－綜合損益,24.78
2376 技嘉,ROA－綜合損益,8.49
2377 微星,ROA－綜合損益,5.95
2379 瑞昱,ROA－綜合損益,11.39
2380 虹光,ROA－綜合損益,-2.52
2382 廣達,ROA－綜合損益,3.28
2383 台光電,ROA－綜合損益,7.69
2385 群光,ROA－綜合損益,12.37
2387 精元,ROA－綜合損益,3.87
2388 威盛,ROA－綜合損益,-12.56
2390 云辰,ROA－綜合損益,2.8
2392 正崴,ROA－綜合損益,5.34
2393 億光,ROA－綜合損益,6.35
2395 研華,ROA－綜合損益,15.93
2397 友通,ROA－綜合損益,7.03
2399 映泰,ROA－綜合損益,3.31
2401 凌陽,ROA－綜合損益,2.02
2402 毅嘉,ROA－綜合損益,5.77
2404 漢唐,ROA－綜合損益,10.38
2405 浩鑫,ROA－綜合損益,6.58
2406 國碩,ROA－綜合損益,-3.92
2408 南亞科,ROA－綜合損益,8.35
2409 友達,ROA－綜合損益,1.33
2412 中華電,ROA－綜合損益,9.08
2413 環科,ROA－綜合損益,2.18
2414 精技,ROA－綜合損益,3.15
2415 錩新,ROA－綜合損益,4.14
2417 圓剛,ROA－綜合損益,-4.19
2419 仲琦,ROA－綜合損益,3.09
2420 新巨,ROA－綜合損益,10.89
2421 建準,ROA－綜合損益,6.58
2423 固緯,ROA－綜合損益,8.95
2424 隴華,ROA－綜合損益,47.3
2425 承啟,ROA－綜合損益,18.44
2426 鼎元,ROA－綜合損益,-12.88
2427 三商電,ROA－綜合損益,0.24
2428 興勤,ROA－綜合損益,11.67
2429 銘旺科,ROA－綜合損益,-10.72
2430 燦坤,ROA－綜合損益,4.1
2431 聯昌,ROA－綜合損益,5.03
2433 互盛電,ROA－綜合損益,22.51
2434 統懋,ROA－綜合損益,-10.11
2436 偉詮電,ROA－綜合損益,8.54
2438 翔耀,ROA－綜合損益,-4.73
2439 美律,ROA－綜合損益,14.45
2440 太空梭,ROA－綜合損益,-1.66
2441 超豐,ROA－綜合損益,11.94
2442 新美齊,ROA－綜合損益,3.31
2443 億麗,ROA－綜合損益,32.76
2444 兆勁,ROA－綜合損益,-11.93
2448 晶電,ROA－綜合損益,0.55
2449 京元電子,ROA－綜合損益,5.5
2450 神腦,ROA－綜合損益,13.88
2451 創見,ROA－綜合損益,13.82
2453 凌群,ROA－綜合損益,3.21
2454 聯發科,ROA－綜合損益,13.53
2455 全新,ROA－綜合損益,11.58
2456 奇力新,ROA－綜合損益,6.41
2457 飛宏,ROA－綜合損益,3.63
2458 義隆,ROA－綜合損益,16.24
2459 敦吉,ROA－綜合損益,7.91
2460 建通,ROA－綜合損益,3.05
2461 光群雷,ROA－綜合損益,7.13
2462 良得電,ROA－綜合損益,6.56
2464 盟立,ROA－綜合損益,6.64
2465 麗臺,ROA－綜合損益,-7.05
2466 冠西電,ROA－綜合損益,-2.54
2467 志聖,ROA－綜合損益,8.6
2468 華經,ROA－綜合損益,1.89
2471 資通,ROA－綜合損益,5.41
2472 立隆電,ROA－綜合損益,7.42
2474 可成,ROA－綜合損益,16.04
2476 鉅祥,ROA－綜合損益,8.6
2477 美隆電,ROA－綜合損益,27.97
2478 大毅,ROA－綜合損益,2.96
2480 敦陽科,ROA－綜合損益,7.04
2481 強茂,ROA－綜合損益,-1.96
2482 連宇,ROA－綜合損益,-0.67
2483 百容,ROA－綜合損益,6.22
2484 希華,ROA－綜合損益,2.42
2485 兆赫,ROA－綜合損益,9.02
2486 一詮,ROA－綜合損益,3.5
2488 漢平,ROA－綜合損益,12.71
2489 瑞軒,ROA－綜合損益,5.41
2491 吉祥全,ROA－綜合損益,-8.58
2492 華新科,ROA－綜合損益,1.4
2493 揚博,ROA－綜合損益,7.68
2495 普安,ROA－綜合損益,0.98
2496 卓越,ROA－綜合損益,-15.27
2497 怡利電,ROA－綜合損益,14.22
2498 宏達電,ROA－綜合損益,0.06
2499 東貝,ROA－綜合損益,6.19
2501 國建,ROA－綜合損益,5.7
2504 國產,ROA－綜合損益,3.17
2505 國揚,ROA－綜合損益,11.23
2506 太設,ROA－綜合損益,4.98
2509 全坤建,ROA－綜合損益,7.78
2511 太子,ROA－綜合損益,4.01
2514 龍邦,ROA－綜合損益,-1.13
2515 中工,ROA－綜合損益,0.41
2516 新建,ROA－綜合損益,0.19
2520 冠德,ROA－綜合損益,3.19
2524 京城,ROA－綜合損益,7.08
2527 宏璟,ROA－綜合損益,3.73
2528 皇普,ROA－綜合損益,8.64
2530 華建,ROA－綜合損益,-0.55
2534 宏盛,ROA－綜合損益,-0.9
2535 達欣工,ROA－綜合損益,6.84
2536 宏普,ROA－綜合損益,4.3
2537 聯上發,ROA－綜合損益,9.82
2538 基泰,ROA－綜合損益,7.51
2539 櫻花建,ROA－綜合損益,18.99
2540 愛山林,ROA－綜合損益,16.61
2542 興富發,ROA－綜合損益,6.85
2543 皇昌,ROA－綜合損益,4.94
2545 皇翔,ROA－綜合損益,4.41
2546 根基,ROA－綜合損益,5.97
2547 日勝生,ROA－綜合損益,15.2
2548 華固,ROA－綜合損益,11.04
2596 綠意,ROA－綜合損益,12.12
2597 潤弘,ROA－綜合損益,10.68
2601 益航,ROA－綜合損益,2.68
2603 長榮,ROA－綜合損益,-0.36
2605 新興,ROA－綜合損益,7.66
2606 裕民,ROA－綜合損益,6.61
2607 榮運,ROA－綜合損益,2.9
2608 嘉里大榮,ROA－綜合損益,8
2609 陽明,ROA－綜合損益,-1.68
2610 華航,ROA－綜合損益,-0.38
2611 志信,ROA－綜合損益,1.27
2612 中航,ROA－綜合損益,3.02
2613 中櫃,ROA－綜合損益,1.46
2614 東森,ROA－綜合損益,-0.36
2615 萬海,ROA－綜合損益,3.48
2616 山隆,ROA－綜合損益,6.82
2617 台航,ROA－綜合損益,6.1
2618 長榮航,ROA－綜合損益,0.65
2630 亞航,ROA－綜合損益,0
2633 台灣高鐵,ROA－綜合損益,0.67
2634 漢翔,ROA－綜合損益,6.54
2636 台驊投控,ROA－綜合損益,5.21
2637 慧洋-KY,ROA－綜合損益,12.64
2640 大車隊,ROA－綜合損益,16.27
2641 正德,ROA－綜合損益,3.27
2642 宅配通,ROA－綜合損益,8.6
2643 捷迅,ROA－綜合損益,4.43
2701 萬企,ROA－綜合損益,4.07
2702 華園,ROA－綜合損益,1.92
2704 國賓,ROA－綜合損益,5.55
2705 六福,ROA－綜合損益,-1.39
2706 第一店,ROA－綜合損益,6.01
2707 晶華,ROA－綜合損益,16.39
2712 遠雄來,ROA－綜合損益,3.86
2718 晶悅,ROA－綜合損益,1.07
2719 燦星旅,ROA－綜合損益,6.42
2722 夏都,ROA－綜合損益,9.14
2723 美食-KY,ROA－綜合損益,9.49
2724 富驛-KY,ROA－綜合損益,3.8
2726 雅茗-KY,ROA－綜合損益,10.01
2727 王品,ROA－綜合損益,14.03
2729 瓦城,ROA－綜合損益,12.38
2731 雄獅,ROA－綜合損益,10.2
2732 六角,ROA－綜合損益,18.65
2734 易飛網,ROA－綜合損益,8.76
2736 高野,ROA－綜合損益,7.67
2739 寒舍,ROA－綜合損益,9.16
2740 天蔥,ROA－綜合損益,28.59
2745 五福,ROA－綜合損益,0
2748 雲品,ROA－綜合損益,13.34
2752 豆府,ROA－綜合損益,0
2801 彰銀,ROA－綜合損益,0.5
2809 京城銀,ROA－綜合損益,2.26
2812 台中銀,ROA－綜合損益,0.61
2816 旺旺保,ROA－綜合損益,6.21
2820 華票,ROA－綜合損益,0.68
2823 中壽,ROA－綜合損益,-0.81
2832 台產,ROA－綜合損益,7.14
2834 臺企銀,ROA－綜合損益,0.28
2836 高雄銀,ROA－綜合損益,0.09
2838 聯邦銀,ROA－綜合損益,0.84
2841 台開,ROA－綜合損益,11.81
2845 遠東銀,ROA－綜合損益,0.61
2849 安泰銀,ROA－綜合損益,0.58
2850 新產,ROA－綜合損益,4.23
2851 中再保,ROA－綜合損益,4.04
2852 第一保,ROA－綜合損益,5.22
2855 統一證,ROA－綜合損益,2.57
2867 三商壽,ROA－綜合損益,-0.49
2880 華南金,ROA－綜合損益,0.49
2881 富邦金,ROA－綜合損益,-0.01
2882 國泰金,ROA－綜合損益,0.72
2883 開發金,ROA－綜合損益,1.94
2884 玉山金,ROA－綜合損益,0.7
2885 元大金,ROA－綜合損益,0.88
2886 兆豐金,ROA－綜合損益,0.75
2887 台新金,ROA－綜合損益,0.67
2888 新光金,ROA－綜合損益,0.52
2889 國票金,ROA－綜合損益,0.56
2890 永豐金,ROA－綜合損益,0.93
2891 中信金,ROA－綜合損益,0.64
2892 第一金,ROA－綜合損益,0.55
2897 王道銀行,ROA－綜合損益,0.53
2901 欣欣,ROA－綜合損益,3.79
2903 遠百,ROA－綜合損益,2.55
