證券代碼,Data Field,2014/1/10,2014/1/17,2014/1/24,2014/1/27,2014/2/7,2014/2/14,2014/2/21,2014/2/27,2014/3/7,2014/3/14,2014/3/21,2014/3/28,2014/4/3,2014/4/11,2014/4/18,2014/4/25,2014/5/2,2014/5/9,2014/5/16,2014/5/23,2014/5/30,2014/6/6,2014/6/13,2014/6/20,2014/6/27,2014/7/4,2014/7/11,2014/7/18,2014/7/25,2014/8/1,2014/8/8,2014/8/15,2014/8/22,2014/8/29,2014/9/5,2014/9/12,2014/9/19,2014/9/26,2014/10/3,2014/10/9,2014/10/17,2014/10/24,2014/10/31,2014/11/7,2014/11/14,2014/11/21,2014/11/28,2014/12/5,2014/12/12,2014/12/19,2014/12/27,2014/12/31
5263 智崴,週報酬率 %,35.6758,3.5856,6.5386,-0.361,6.703,4.4143,18.2115,11.0042,0.1239,2.9703,-0.9615,21.3591,19.8,-9.8498,2.5925,-6.3178,3.4682,-2.2347,-13.7143,13.2452,20.2728,0.162,-2.1036,-3.3057,3.4188,-7.1074,-16.3701,-13.1914,2.9412,1.1904,-5.6471,-0.071,-6.7935,13.7026,0,2.0513,12.8141,-7.3497,9.375,-2.6374,-8.3522,-6.2808,-2.3653,5.3836,-2.2989,1.9609,-8.9743,5.6338,4.5334,1.7858,2.005,8.5995
5263 智崴,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72,18.22,6.47,20.06,20.78,27.33,29.4,19.45,18.87,24.76,29.02,29.12,34.43,22.95,17.74,26.7,26.99,30.75,47.64,45.52,40.07,37.03,41.74,27.33,40.22,42.42,34.72,34.17,43.33,26.57,37.49,20.58,21.46,24.3,30.47,16.94,27.98
5274 信驊,週報酬率 %,5.5276,-1.6667,0.0001,-4.1162,7.3232,-1.4116,5.4893,-0.4525,20.4546,-0.7548,-0.7605,3.8314,6.2731,-5.7292,-2.7624,-7.9545,6.3785,-2.5146,-6.746,15.5319,-1.105,5.5867,-3.7037,-3.4799,-1.3283,1.1538,-9.5058,-1.6807,9.8291,-7.1984,-1.3099,11.9618,-3.205,-5.298,-2.0978,-0.9523,13.4615,0.6356,-0.4211,0.2115,-6.5402,-1.58,6.6514,4.5161,3.7036,-3.1746,5.7377,6.9768,-1.4492,-0.3678,0.738,-0.5494
5274 信驊,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5289 宜鼎,週報酬率 %,-4.1006,0.2759,-0.9628,-1.1111,1.1237,-2.0834,1.1347,-1.9636,0.143,0.0001,-0.4286,0.8609,1.2802,1.4045,-0.831,0.9777,7.8839,2.8205,-8.2294,4.7555,3.2425,9.9246,-0.6857,3.5672,-2.5556,3.0787,-0.6637,-0.4455,11.4094,-3.8152,1.2527,9.7939,-2.8169,9.083,-2.069,-8.4507,1.6483,-2.7028,1.6666,-8.306,-7.5089,2.7062,4.768,-1.7965,3.5364,0.7066,1.6374,7.4798,-1.1777,-1.9501,4.0884,-0.7431
5289 宜鼎,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5347 世界,週報酬率 %,-4.5962,5.8394,-5.1035,-2.6163,5.8209,13.2582,7.8455,3.3488,2.7934,5.9782,-11.6924,5.4588,5.837,-6.7639,-4.6874,-1.8735,1.3127,-2.2379,7.8312,0.2235,3.679,0.8602,-1.0662,-0.8621,1.1957,5.8163,0.3157,-3.6726,-1.3071,-5.0773,-4.6513,5.4878,-0.1156,1.2732,-0.1142,-1.6017,4.1861,1.1162,1.4349,0.9794,-4.5258,3.8374,-0.7609,-1.862,5.1339,1.1677,0.3148,-1.7782,-0.5326,-1.82,8.3969,5.2314
5347 世界,現股當沖比重,2.76,6.23,1.31,3.49,4.74,10.58,6.02,5.91,10.12,6.68,5.84,7.13,7.06,3.92,6.57,4.75,4.28,3.62,9.98,3.42,5.12,4.78,6.99,7.68,6.2,5.31,9.09,3.65,5.01,10.38,4.24,8.41,6.81,5.65,0.84,3.72,8.25,5.2,7.33,7.87,5.26,7.06,7.48,7.5,4.09,9.65,4.53,3.56,4.88,5.07,10.81,9.62
5371 中光電,週報酬率 %,-1.7153,1.0471,0.1727,-3.1034,3.7367,1.5438,3.0407,-0.8197,6.4463,7.2981,2.7497,-2.6761,0.7237,7.7585,2.4,-8.0729,4.2492,-4.0761,-5.0992,-0.2985,4.1916,0.2873,0.8596,-1.8466,-5.3548,0.9174,1.8182,4.1667,2.4285,5.8578,4.3478,-0.0001,0,0.3472,0.6042,-2.9028,0.4125,-1.8481,5.2301,-3.0814,-5.6411,-5.3262,4.7073,-1.0965,1.1086,-1.6447,-3.01,2.7586,-4.9216,-2.9411,5.6969,-1.3762
5371 中光電,現股當沖比重,0.94,1.25,2.92,0.66,2.04,3.98,2.64,6.86,3.48,5.32,3.87,7.24,2.11,9.19,5.49,4.21,4.41,4.6,1.91,3.04,1.46,6.14,0.66,1.34,1.15,3.38,1.6,3.1,1.22,4.68,9.94,0,0,3.27,3.31,3.61,4.56,5.82,5.73,4.59,5.42,5.2,3.7,3.13,1.93,1.76,0.88,2.36,1.28,3.1,1.69,6.71
