證券代碼,Data Field,2016/11/4,2016/11/11,2016/11/18,2016/11/25,2016/12/2,2016/12/9,2016/12/16,2016/12/23,2016/12/30,2017/1/6,2017/1/13,2017/1/20,2017/1/24,2017/2/3,2017/2/10,2017/2/18,2017/2/24,2017/3/3,2017/3/10,2017/3/17,2017/3/24,2017/3/31,2017/4/7,2017/4/14,2017/4/21,2017/4/28,2017/5/5,2017/5/12,2017/5/19,2017/5/26,2017/6/3,2017/6/9,2017/6/16,2017/6/23,2017/6/30,2017/7/7,2017/7/14,2017/7/21,2017/7/28,2017/8/4,2017/8/11,2017/8/18,2017/8/25,2017/9/1,2017/9/8,2017/9/15,2017/9/22,2017/9/30,2017/10/6,2017/10/13,2017/10/20,2017/10/27
3338 泰碩,現股當沖比重,17.6,9.4,6.35,11.7,5,11.12,11.35,9.01,13.83,8.39,4.49,4.22,2.66,4.45,2.32,4.11,1.77,5.67,2.04,2.03,15.43,7.92,10.29,5.11,2.31,1.51,2.79,9.65,13.16,4.38,0,2.04,0,8.33,1.57,2.2,8.46,2.88,2.13,1.43,12.05,8,0,4.98,3.36,2.63,9.52,7.69,9.91,26.31,16.95,9.76
3346 麗清,週報酬率 %,-1.7826,-4.1155,3.0126,1.2164,-0.0255,4.8338,14.6621,102.9998,0.9852,16.4228,14.5252,-1.2194,-0.247,-1.609,10.6918,-0.341,2.8506,-0.8869,7.3825,15.6249,8.5585,5.3941,-7.4803,-10.6384,0.9524,-2.8303,8.7378,-7.5893,-0.9662,0,-3.0243,1.1066,-10.7463,-1.1148,-3.7204,-8.8993,0.5141,-0.128,-2.6889,5.3947,-7.241,6.4603,0.8849,1.0024,-1.6032,18.0865,-3.1075,-6.6438,5.6442,-3.9488,-2.4184,-1.7348
3346 麗清,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.48,25.56,13.6,46.29,40,25.61,28.31,10.26,7.6,11.21,18.09,29.26,11.09,31.2,12.84,13.31,5.44,34.31,15.14,38.71,14.34,37.04,10.28,36.6,15.71,13.5,19.3,13.1,5.3,28.7
3356 奇偶,週報酬率 %,-7.62,-1.695,-2.5287,5.6603,-2.6786,5.2752,0.0001,4.1394,0.8368,-2.386,-7.6515,0.3452,-1.2615,-0.6969,-0.8187,3.5378,-0.9112,2.7586,-3.8032,3.4883,-1.5731,-1.3698,1.273,-1.6001,-0.2322,-4.0744,-2.4272,-4.8507,2.3529,-1.6603,2.8571,1.01,0.5,1.2438,-1.597,-0.7492,-0.3773,4.5455,-1.57,0.6134,-4.2684,-1.7834,1.297,0.128,-0.8951,8.5162,-2.1402,-1.9442,2.4782,5.6832,-0.4576,-0.3449
3356 奇偶,現股當沖比重,10.4,17.48,4.73,4.17,0,5.73,7.33,3.82,0.49,6.21,1.63,5.6,0.71,0.61,1.86,3.58,2.93,2.99,2.17,3.93,1.15,1.22,3.48,3.91,3.05,6.31,6.32,8.86,7.33,4.04,22.75,9.44,4.46,3.58,3.02,0,5.06,7.76,2.46,1.59,6.09,2.84,3.34,0,1.43,16.51,1.85,1.36,0.49,19.24,4.08,1.53
3376 新日興,週報酬率 %,-14.6798,-1.6166,2.3473,2.6376,-4.2459,-1.4002,1.5384,-1.5152,-2.2485,1.6949,-1.1904,3.012,3.7426,7.1026,-9.8947,1.6357,-1.0345,-0.9292,3.2825,4.0863,-4.2531,-2.278,-0.6992,-2.4649,-0.6017,1.3318,1.4338,2.9447,-2.6315,5.758,8.4444,0,5.5328,-0.4854,-5.8536,2.487,-2.0222,-2.1673,-4.7469,-0.443,-2.3359,-0.1992,3.0733,-2.0643,-0.3513,-1.7626,-0.1196,-1.9162,4.0293,-0.4695,0.8255,-3.2749
3376 新日興,現股當沖比重,15.12,14.9,5.58,12.62,16.55,4.32,5.56,3.44,5.87,3.17,4.42,2.27,4.63,10.97,4.8,1.78,4.18,2.99,7.46,3.81,6.93,3.39,5.34,1.79,3.79,4.03,2.97,9.45,6.21,10.32,19.35,22.99,27.1,25.95,12.97,9.74,9.87,17.51,7.86,8.12,8.95,4.6,12.94,4.89,4.72,5.66,7.68,2.29,7.33,3.37,7.65,5.78
3380 明泰,週報酬率 %,-6.5217,-1.7442,11.5385,0.2652,3.4392,2.3018,3.2499,-7.506,2.6178,4.5919,-1.2194,-2.2223,0.2525,0,1.0075,8.2294,-1.3825,-1.8691,-1.1906,15.6628,-2.5001,0.8547,1.2712,-8.3683,2.2831,9.5982,7.5356,3.7879,4.0145,-3.5087,-1.0909,2.9412,5.8929,-7.2512,1.0909,-4.856,-2.4575,0.5814,-5.0095,-3.8539,-9.2826,0.9302,2.9954,2.6613,-2.7397,3.5212,5.669,6.8671,-1.6064,-0.2041,-1.0225,-3.3058
3380 明泰,現股當沖比重,4.45,2,13.34,4.04,8.54,11.08,11.01,4.88,1.49,2,5.53,2.12,5.44,1.53,8.05,14.36,20.3,1.76,3.7,16.1,11.19,7.6,7.78,1.63,5.64,31.78,39.58,43.65,28.23,26.42,28.69,27.93,34.23,28.83,13.77,13.85,18.77,11.75,12.4,15.13,23.29,10.3,7.77,20.59,7.4,22.62,30.25,47.6,18.27,15.14,15.4,10.24
3383 新世紀,週報酬率 %,-3.7037,-5.8824,-28.8461,-20.2702,18.644,-4.9999,-7.5187,-1.626,7.8513,0,-2.2988,1.1765,20.5426,15.7556,-3.6112,3.4584,-4.4569,-0.8747,-4.4117,7.0768,-3.161,9.7922,8.1081,0,-0.4999,-4.774,-8.7072,10.1157,-16.273,1.8809,-2.4615,1.5773,-5.2795,-6.8853,-3.169,3.6363,1.0527,0.0001,-5.9027,-0.369,-6.2962,-1.5811,1.6063,-5.1383,19.1667,-1.0491,-3.8869,2.2058,-4.3166,1.5038,-1.4815,-0.7519
3383 新世紀,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,7.66,3.08,5.18,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3406 玉晶光,週報酬率 %,-4.249,7.3272,25,45.3846,-3.7037,9.89,17.5,-11.4893,7.6923,-2.6785,8.2569,25.8475,20.5388,16.2011,-10.0962,38.5026,-21.0425,-11.9805,16.1111,13.3972,11.8143,15.8491,-5.5375,8.9655,-4.114,16.6668,-5.9406,-6.4662,0.643,-4.6326,1.5075,9.2409,-9.3656,4.1668,-1.92,12.2349,4.0698,-5.0279,-0.2942,4.4247,-5.5085,3.139,28.8405,23.0597,2.5594,-18.4492,-11.694,-3.2178,5.8823,-0.9661,-9.2684,-16.2635
3406 玉晶光,現股當沖比重,14.96,12,24.44,0,0,26.56,55.03,49.41,42.66,19.62,36.23,0,0,0,0,43.17,46.64,46.14,41.05,41.58,49,43.77,52.01,50.79,48.27,38.43,0,0,63.25,52.39,62.53,62.74,59.8,59.82,61.34,62.55,64.11,55.75,63.42,56.92,66.93,52.47,64.65,0,0,69.59,65.65,63.82,68.61,58.78,67.57,53.84
3413 京鼎,週報酬率 %,-2.0228,-0.9032,4.6876,1.99,1.3414,3.1286,-0.35,-2.9275,3.4982,0.6993,-0.8103,1.2836,1.0369,2.3945,3.118,6.6953,1.0122,-1.3025,-2.6396,6.3607,7.8432,7.2728,-2.9661,-7.4236,9.434,7.7586,8.4,18.0813,4.0625,5.1051,-4.2857,0.597,-5.6379,-1.5723,0.3195,0.6369,12.8481,13.5542,15.6499,0.6881,-3.4167,-2.8302,8.0097,12.1348,-6.6131,-3.6481,-5.3453,0.4705,1.1709,3.7037,-6.6963,0.0001
3413 京鼎,現股當沖比重,4.27,3.43,6.18,5.73,5.6,14.08,4.38,3.45,6.01,1.43,0.76,14.86,7.61,7.34,6.76,21.08,14.51,9.7,8.42,10.98,13.96,21.63,11.26,12.76,11.99,41.39,39.42,47.36,45.92,56.61,36.83,47.88,41.88,26.87,38.46,20.27,17.9,51.83,41.25,40.21,46.55,26,37.46,56.79,39.32,23.14,24.82,35.57,28.57,23.87,22.1,24.54
