證券代碼,Data Field,2015/7/3,2015/7/9,2015/7/17,2015/7/24,2015/7/31,2015/8/7,2015/8/14,2015/8/21,2015/8/28,2015/9/4,2015/9/11,2015/9/18,2015/9/25,2015/10/2,2015/10/8,2015/10/16,2015/10/23,2015/10/30,2015/11/6,2015/11/13,2015/11/20,2015/11/27,2015/12/4,2015/12/11,2015/12/18,2015/12/25,2015/12/31,2016/1/8,2016/1/15,2016/1/22,2016/1/30,2016/2/3,2016/2/19,2016/2/26,2016/3/4,2016/3/11,2016/3/18,2016/3/25,2016/4/1,2016/4/8,2016/4/15,2016/4/22,2016/4/29,2016/5/6,2016/5/13,2016/5/20,2016/5/27,2016/6/4,2016/6/8,2016/6/17,2016/6/24,2016/7/1,2016/7/7,2016/7/15,2016/7/22,2016/7/29,2016/8/5,2016/8/12,2016/8/19,2016/8/26
6538 倉和,週報酬率 %,0,0,0,0,0,0,1.8092,-0.4911,-1.2922,0,0.9,1.811,-2.6549,0.9091,1.7117,0,0,0.5314,1.3216,0,2.6087,-1.6949,11.2069,-3.1007,-2.72,-3.7829,-1.7094,-4.5218,-0.7286,2.2936,3.13,0,0,2.4437,0,1.8676,0,10.8333,-5.6392,1.1952,1.1811,-4.2802,19.748,-3.5916,-9.8591,0.7814,-2.3256,-1.5874,1.8629,-1.0371,0.8001,0.0001,-5.5555,2.6052,-1.1074,2.1021,-0.4202,-7.173,-1.8181,-0.3704
6538 倉和,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6542 隆中,週報酬率 %,-4.9999,-2.5,3.4638,-4.3478,2.7273,-1.77,-1.8018,-5.5046,-4.8545,-2.0408,-1.1458,0,0.1054,0.5263,-0.5236,2.4787,-0.0105,-0.5158,-0.5185,-4.2655,2.2222,0,-2.1739,0,0,-2.2222,1.1364,-2.2472,0.6093,9.6881,-8.7386,3.8576,-1.0769,1.0886,2.5385,0.2143,1.2619,29.3694,-0.3918,-1.3277,-2.0016,1.7035,0.5,-0.4975,0,12.9167,23.8377,-0.1489,7.1918,-4.7884,-2.3392,2.1198,-2.6621,1.2048,-2.3869,5.1701,0.32,-4.3062,-7.4305,-6.2266
6542 隆中,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6547 高端疫苗,週報酬率 %,0,0,0,0,0,-0.3334,10.7022,-16.6163,4.6739,-2.0423,2.7916,4.1595,-3.9933,-4.1252,-2.8326,3.2724,-1.2892,-6.4178,-0.319,-1.84,12.062,14.5456,0.3175,-6.8038,8.6926,0.0001,2.7492,-7.8443,-1.3527,-0.0334,1.037,-0.7947,-1.5354,13.5592,4.5074,1.114,-4.661,-6.3703,4.7468,-1.3595,-1.6846,-0.9656,-2.4852,0.6128,-6.5405,0.2058,4.382,2.3287,1.9231,-0.3459,-1.5777,-0.6091,-0.6451,1.7538,0.4212,-3.8721,-1.2757,-1.768,0.1385,5.1158
6547 高端疫苗,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6548 長科*,週報酬率 %,0,0,0,0,0.5882,-6.4328,-2.0833,4.9149,7.463,-4.9066,-1.2701,-3.5176,-2.0624,6.3603,1.04,-1.0491,1.3402,7.5603,1.8169,-0.5227,2.9173,1.8837,-0.6566,-0.8001,8.6972,27.085,-2.945,-5.8331,5.986,-0.0917,18.0481,-0.0001,-4.4445,-0.2443,-2.0865,-1.1905,6.0241,0,1.1363,0,0.5055,-1.2857,-1.1326,-0.4697,-2.7506,3.3136,0.8019,-0.3409,0.342,-1.1363,8.6092,3.6724,11.1679,8.696,26.7213,1.3333,13.8158,-6.6474,-1.5773,-4.1923
6548 長科*,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6556 勝品,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0239,1.7799,-0.9605,-0.5471,-0.2251,0.7017,0.2737,-0.2234,7.0149,2.7428,9.276,3.9336,-2.3904,-0.8163,2.8806,-2,-2.0408,-3.4374,-0.755,0.8696,-0.2156,-1.0799,-2.4235,-1.9915,0.9132,0.6789,3.3709,3.0435,-4.2317,1.3954,-3.6698,3.3333,1.3825
6556 勝品,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
