公司,Data Field,2015/9/30,2015/12/31,2016/3/31,2016/6/30
2345 智邦,M負債比率％,0,0,0,0
2347 聯強,M負債比率％,0,0,0,0
2348 海悅,M負債比率％,0,0,0,0
2349 錸德,M負債比率％,0,0,0,0
2351 順德,M負債比率％,0,0,0,0
2352 佳世達,M負債比率％,0,68.71,0,0
2353 宏,M負債比率％,0,0,0,0
2354 鴻準,M負債比率％,0,0,0,0
2355 敬鵬,M負債比率％,0,0,0,0
2356 英業達,M負債比率％,0,0,0,0
2357 華碩,M負債比率％,0,0,0,0
2358 廷鑫,M負債比率％,31.91,0,0,0
2359 所羅門,M負債比率％,0,0,0,0
2360 致茂,M負債比率％,0,0,0,0
2362 藍天,M負債比率％,0,0,0,0
2363 矽統,M負債比率％,0,0,0,0
2364 倫飛,M負債比率％,0,0,0,0
2365 昆盈,M負債比率％,0,0,0,0
2367 燿華,M負債比率％,0,0,0,0
2368 金像電,M負債比率％,0,0,0,0
2369 菱生,M負債比率％,0,0,0,0
2371 大同,M負債比率％,0,0,0,0
2373 震旦行,M負債比率％,0,0,0,0
2374 佳能,M負債比率％,0,0,0,0
2375 智寶,M負債比率％,0,0,0,0
2376 技嘉,M負債比率％,0,0,0,0
2377 微星,M負債比率％,0,0,0,0
2379 瑞昱,M負債比率％,0,0,0,0
2380 虹光,M負債比率％,0,0,0,0
2382 廣達,M負債比率％,0,0,0,0
2383 台光電,M負債比率％,0,0,0,0
2385 群光,M負債比率％,0,0,0,0
2387 精元,M負債比率％,0,0,0,0
2388 威盛,M負債比率％,0,0,0,0
2390 云辰,M負債比率％,0,0,0,0
2392 正崴,M負債比率％,0,0,0,0
2393 億光,M負債比率％,0,0,0,0
2395 研華,M負債比率％,0,30.98,0,0
2397 友通,M負債比率％,0,0,0,0
2399 映泰,M負債比率％,0,0,0,0
2401 凌陽,M負債比率％,0,0,0,0
2402 毅嘉,M負債比率％,0,0,0,0
2404 漢唐,M負債比率％,0,0,0,0
2405 浩鑫,M負債比率％,0,0,0,0
2406 國碩,M負債比率％,0,0,0,0
2408 南亞科,M負債比率％,0,0,0,0
2409 友達,M負債比率％,0,51.91,0,0
2412 中華電,M負債比率％,0,0,0,0
2413 環科,M負債比率％,0,0,0,0
2414 精技,M負債比率％,0,0,0,0
2415 錩新,M負債比率％,0,0,0,0
2417 圓剛,M負債比率％,0,13.27,0,0
2419 仲琦,M負債比率％,0,0,0,0
2420 新巨,M負債比率％,0,0,0,0
2421 建準,M負債比率％,0,0,0,0
2423 固緯,M負債比率％,0,0,0,0
2424 隴華,M負債比率％,0,1.14,0,0
2425 承啟,M負債比率％,0,0,0,0
2426 鼎元,M負債比率％,0,0,0,0
2427 三商電,M負債比率％,0,0,0,0
