公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
6005 群益證,M負債比率％,69.18,70.23,71.45,74.42,76.1,76.47,76.34,75.1
6015 宏遠證,M負債比率％,61.1,58.83,54.38,56.95,57.89,58.5,61.61,60.87
6016 康和證,M負債比率％,78.61,82.41,75.95,75.43,76.34,74.32,78.01,74.15
6020 大展證,M負債比率％,18.49,15.87,16.23,16.87,23.02,20.71,17.85,19.87
6021 大慶證,M負債比率％,45.24,41.66,38.8,45.2,43.5,46.13,48.04,47.91
6023 元大期,M負債比率％,89.16,89.16,88.45,86.73,87.97,87.55,87.01,87.39
6024 群益期,M負債比率％,88.72,88.28,88.15,85.04,87.18,85.96,86.01,85.16
6026 福邦證,M負債比率％,41.96,17.1,23.44,54.82,41.95,28.72,25.2,40.17
6101 寬魚國際,M負債比率％,0,0,0,0,0,0,36.13,39.22
6103 合邦,M負債比率％,0,0,0,0,0,0,83.23,84.21
6104 創惟,M負債比率％,0,0,0,0,0,0,49.57,49.49
6108 競國,M負債比率％,0,0,0,0,0,0,65.88,64.94
6109 亞元,M負債比率％,0,0,0,0,0,0,33.63,32.33
6111 大宇資,M負債比率％,0,0,0,0,0,0,44.72,44.76
6112 聚碩,M負債比率％,0,0,0,0,0,0,61.54,60.98
6113 亞矽,M負債比率％,0,0,0,0,0,0,25.82,20.71
6114 久威,M負債比率％,0,0,52.72,0,0,0,49.41,41.95
6115 鎰勝,M負債比率％,0,0,0,0,0,0,38.53,39.15
6116 彩晶,M負債比率％,0,0,0,0,0,0,15.38,15.63
6117 迎廣,M負債比率％,0,0,0,0,0,0,47.34,48.15
6118 建達,M負債比率％,0,0,0,0,0,55.87,56.37,58.02
6120 達運,M負債比率％,0,0,54.58,0,0,0,49.2,47.72
6121 新普,M負債比率％,0,0,0,0,0,0,53.53,51.23
6122 擎邦,M負債比率％,0,0,0,0,0,0,60.43,60.92
6123 上奇,M負債比率％,0,0,0,0,0,0,41.48,35.5
6124 業強,M負債比率％,0,0,0,0,0,0,13.52,10.91
6125 廣運,M負債比率％,0,0,0,0,0,0,52.48,52.75
6126 信音,M負債比率％,0,0,0,0,0,0,52.56,50.45
6127 九豪,M負債比率％,0,0,0,0,0,0,62.94,46.76
6128 上福,M負債比率％,0,0,51.23,0,0,0,63.16,68.54
6129 普誠,M負債比率％,0,0,0,0,19.09,19.02,17.98,17.55
6130 星寶國際,M負債比率％,0,0,0,0,0,0,35.79,35.61
6131 鈞泰,M負債比率％,0,0,0,0,0,1.33,11.39,26.77
6133 金橋,M負債比率％,0,0,0,0,0,0,19.52,16.91
6134 萬旭,M負債比率％,0,0,0,0,0,0,49.59,48.21
6136 富爾特,M負債比率％,0,0,0,0,0,0,4.01,3.93
6138 茂達,M負債比率％,0,0,0,0,0,0,27.97,26.06
6139 亞翔,M負債比率％,0,0,0,0,0,0,57.88,57.2
6140 訊達,M負債比率％,0,0,0,0,0,0,55.67,56.54
6141 柏承,M負債比率％,0,0,0,0,0,0,60.57,58.66
6142 友勁,M負債比率％,0,0,29.5,0,0,0,34.5,36.46
6143 振曜,M負債比率％,0,0,0,0,0,0,80.2,79.96
6144 得利影,M負債比率％,0,0,0,0,0,0,20.77,21.96
6146 耕興,M負債比率％,0,0,0,0,0,0,22.61,19.58
6147 頎邦,M負債比率％,0,0,0,0,30.4,0,28.41,28.83
6148 驊宏資,M負債比率％,0,0,0,0,0,0,51.19,45.59
6150 撼訊,M負債比率％,0,0,0,0,0,0,70.12,68.64
6151 晉倫,M負債比率％,0,0,0,0,0,0,49.07,48.12
6152 百一,M負債比率％,0,0,0,0,0,0,67.16,68.94
6153 嘉聯益,M負債比率％,0,0,0,0,0,0,55.29,44.96
6154 順發,M負債比率％,0,0,0,0,0,0,27.71,23.94
6155 鈞寶,M負債比率％,0,0,0,0,0,0,37.22,38.38
6156 松上,M負債比率％,0,0,0,0,0,0,51.89,55.63
6158 禾昌,M負債比率％,0,0,0,0,0,0,31.54,27.94
6160 欣技,M負債比率％,0,0,0,0,0,0,30.38,30.7
6161 捷波,M負債比率％,0,0,0,0,0,0,16.09,15.35
6163 華電網,M負債比率％,0,0,0,0,0,0,61.13,56.7
6164 華興,M負債比率％,0,0,0,0,0,0,0,40.43
6165 捷泰,M負債比率％,0,0,0,0,0,0,3.83,3.61
6166 凌華,M負債比率％,0,0,0,0,0,0,40.69,41.84
6167 久正,M負債比率％,0,0,0,0,0,0,42.68,39.46
6168 宏齊,M負債比率％,0,0,0,0,0,0,29.19,28.25
6169 昱泉,M負債比率％,0,0,0,0,0,0,42.63,55.16
6170 統振,M負債比率％,0,0,0,0,0,0,47.17,44.66
6171 亞銳士,M負債比率％,0,0,0,0,0,0,28.26,28.4
6172 互億,M負債比率％,0,0,0,0,0,0,52.75,53.35
6173 信昌電,M負債比率％,0,0,0,0,0,0,25.3,25.67
6174 安,M負債比率％,0,0,0,0,0,0,26.98,29.83
6175 立敦,M負債比率％,0,0,0,0,0,0,34.88,37.35
6176 瑞儀,M負債比率％,0,0,0,0,0,0,0,49.49
6177 達麗,M負債比率％,0,0,0,0,0,0,68.4,72.39
6179 亞通,M負債比率％,0,0,0,0,0,0,36.34,40.9
6180 橘子,M負債比率％,0,0,0,0,0,0,63.24,64.5
6182 合晶,M負債比率％,0,0,0,0,0,0,38.54,36
6183 關貿,M負債比率％,0,0,0,0,0,0,0,17.45
6184 大豐電,M負債比率％,0,0,0,0,0,0,46.04,47.05
6185 幃翔,M負債比率％,0,0,0,0,25.15,0,0,21.47
6186 新潤,M負債比率％,0,0,0,0,0,0,73.08,69.79
6187 萬潤,M負債比率％,0,0,0,0,0,0,0,25.43
6188 廣明,M負債比率％,0,0,0,0,0,0,61.38,58.06
