公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
3652 精聯,M負債比率％,0,0,0,0,0,0,30.27,28.12
3663 鑫科,M負債比率％,0,0,0,0,0,0,12.05,20.23
3664 安瑞-KY,M負債比率％,0,0,0,0,0,0,24.99,22.38
3666 光耀,M負債比率％,0,0,0,0,0,0,0,24.19
3672 康聯訊,M負債比率％,0,0,0,0,0,0,27.71,28.37
3675 德微,M負債比率％,0,0,0,0,0,0,25.41,31.1
3680 家登,M負債比率％,0,0,0,0,0,0,59.86,59.75
3684 榮昌,M負債比率％,0,0,0,0,0,0,41.25,38.49
3685 元創精密,M負債比率％,0,0,0,0,0,0,46.14,46.31
3687 歐買尬,M負債比率％,0,0,0,0,0,0,50.51,51.24
3689 湧德,M負債比率％,0,0,0,0,0,0,43.98,44.53
3691 碩禾,M負債比率％,0,0,0,0,0,0,65.78,66.04
3693 營邦,M負債比率％,0,0,0,0,0,0,44.09,43.68
3707 漢磊,M負債比率％,0,0,0,0,0,0,41.66,36.37
3709 鑫聯大投控,M負債比率％,0,0,0,0,0,0,64.62,63.53
3710 連展投控,M負債比率％,0,0,0,0,0,0,62.15,62.23
4102 永日,M負債比率％,0,0,0,0,0,0,22.13,22.64
4105 東洋,M負債比率％,0,0,0,0,0,0,35.71,30.28
4107 邦特,M負債比率％,0,0,0,0,0,0,18.49,18.75
4109 加捷生醫,M負債比率％,0,0,0,0,0,0,47.05,48.38
4111 濟生,M負債比率％,0,0,0,0,0,0,28.91,30.36
4113 聯上,M負債比率％,0,0,0,0,0,0,53.64,49.79
4114 健喬,M負債比率％,0,0,0,0,0,0,47.15,40.5
4116 明基醫,M負債比率％,0,0,0,0,0,30.31,30.83,28.03
4120 友華,M負債比率％,0,0,0,0,0,0,0,37.32
4121 優盛,M負債比率％,0,0,0,0,0,0,0,42.28
4123 晟德,M負債比率％,0,0,0,0,0,0,55.95,57.02
4126 太醫,M負債比率％,0,0,0,0,0,0,0,36.72
4127 天良,M負債比率％,0,0,0,0,0,0,39.8,41.63
4128 中天,M負債比率％,0,0,0,0,0,0,9.38,5.63
4129 聯合,M負債比率％,0,0,0,0,0,0,48.36,50.15
4130 健亞,M負債比率％,0,0,0,0,0,0,21.65,8.79
4131 晶宇,M負債比率％,0,0,0,0,0,0,3.12,1.96
4138 曜亞,M負債比率％,0,0,0,0,0,0,39,28.52
4139 馬光-KY,M負債比率％,0,0,0,51.77,50.23,49.3,50.68,48.1
4147 中裕,M負債比率％,0,0,0,0,0,0,4.68,10.21
4152 台微體,M負債比率％,0,0,0,0,0,0,0,24.88
4153 鈺緯,M負債比率％,0,0,0,0,0,0,24.01,10.46
4154 康樂-KY,M負債比率％,0,0,0,0,0,0,38.89,40.49
4157 太景*-KY,M負債比率％,0,0,0,0,0,0,6.42,5.08
4160 創源,M負債比率％,0,0,0,0,0,0,17.69,13.83
4161 聿新科,M負債比率％,0,0,0,0,0,0,43.31,46.6
4162 智擎,M負債比率％,0,0,0,0,0,0,4.86,4.6
4163 鐿鈦,M負債比率％,0,0,0,0,0,0,49.07,48.52
4167 展旺,M負債比率％,0,0,0,0,0,0,0,40.64
4168 醣聯,M負債比率％,0,0,0,2.14,2.01,1.31,1.35,1.22
4171 瑞基,M負債比率％,0,0,0,0,0,0,58.42,59.06
4173 久裕,M負債比率％,0,0,0,0,0,0,80.22,77.77
4174 浩鼎,M負債比率％,0,0,0,0,0,0,2.5,3.83
4175 杏一,M負債比率％,0,0,0,0,0,0,69.79,65.36
4183 福永生技,M負債比率％,0,0,0,0,0,0,28.78,33.78
4188 安克,M負債比率％,0,0,0,0,0,0,0,9.52
4192 杏國,M負債比率％,0,0,0,0,0,0,0,13.07
4198 環瑞醫,M負債比率％,0,0,29.35,0,0,0,40.77,45.04
4205 中華食,M負債比率％,0,0,0,0,0,0,17.08,15.53
4207 環泰,M負債比率％,0,0,0,0,0,0,41.85,41.63
4303 信立,M負債比率％,0,0,0,0,0,0,22.29,21.42
4304 勝昱,M負債比率％,0,0,0,0,0,0,58.64,58.85
4305 世坤,M負債比率％,0,0,0,0,0,0,16.22,14.55
4401 東隆興,M負債比率％,0,0,0,0,0,0,49,49.68
4402 福大,M負債比率％,0,0,0,0,0,0,76.58,0
4406 新昕纖,M負債比率％,19.76,20.77,0,0,21.36,26.16,28.72,30.32
4413 飛寶企業,M負債比率％,0,0,0,0,0,0,24.16,21.15
4415 台原藥,M負債比率％,0,0,0,0,0,0,71.08,61.77
4416 三圓,M負債比率％,0,0,0,0,0,0,71.42,72.28
4417 金洲,M負債比率％,0,0,0,0,0,0,39.64,36.8
4419 元勝,M負債比率％,0,0,0,0,0,0,4.4,2.33
4420 光明,M負債比率％,0,0,0,0,0,0,29.28,45.77
4429 聚紡,M負債比率％,0,0,0,0,0,0,23.01,23.11
4430 耀億,M負債比率％,0,0,0,0,0,0,36.39,36.74
4432 銘旺實,M負債比率％,0,0,0,0,0,0,22,17.14
4433 興采,M負債比率％,0,0,41.59,0,0,0,47.68,50.15
