證券代碼,Data Field,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/27,2018/3/31,2018/4/30
3057 喬鼎,月報酬率 %,-10.9146,2.6489,-1.9356,12.5001,-4.3857,2.202,-11.5854,-6.2069,15.4412,-5.0954,-2.6845,-2.069,-1.4087,-7.4999,5.4053,-5.1282,3.475,-9.3283,-0.4114,-1.2397,-7.5315,-5.8823,-0.9616,-5.0485,-4.09
3057 喬鼎,現股當沖比重,4.7,3.36,6.35,4.9,1.42,2.38,5.83,4.32,30.59,1.51,1.21,3.22,3.57,8.66,3.34,6.12,13.75,15.69,9.03,0,0,0,0,0,0
3058 立德,月報酬率 %,-1.9709,-2.4338,0.1084,3.5753,3.2348,4.0598,8.3162,-7.2039,9.295,-2.8037,8.1732,-4.8889,-0.9344,-4.2454,1.4776,-0.9708,2.5886,-0.8032,-0.3035,-10.5583,1.1352,1.908,-1.3216,-4.7993,-4.5721
3058 立德,現股當沖比重,3.36,15.2,3.73,0,9.62,12.08,12.33,0,5.53,1,12.54,0.72,2.07,0,2.7,0,37.5,3.54,0,4.72,0,10.12,19.21,3.65,12.42
3059 華晶科,月報酬率 %,-12.2967,-13.1959,2.1379,6.7443,-0.4356,6.2426,-2.586,-4.8674,3.0232,9.7065,4.9379,-5.0978,11.1571,-13.7546,7.7586,5.2002,30.8386,-15.8208,3.3688,3.0874,4.8252,1.2699,-7.3667,-2.7075,9.5652
3059 華晶科,現股當沖比重,11.11,4.44,2.25,5.55,11.65,16.82,4.42,1.72,3.34,6.99,26.1,6.08,41.59,7.63,37.03,25.6,35.84,32.84,62.08,51.96,31.43,17.24,39.9,8.76,41.71
3060 銘異,月報酬率 %,-6.8644,-11.3544,-3.146,3.5965,-6.2426,2.4804,-5.4776,-18.0593,-0.9868,13.1228,10.8666,-9.6692,-8.9442,-6.28,14.9483,-4.6556,-4.4407,-5.5077,2.3679,-12.0548,-6.2717,-0.7433,-9.1759,-5.3607,-4.3571
3060 銘異,現股當沖比重,4.18,4.34,4.15,2.58,2.79,5.89,1.25,7.96,2.22,4.72,11.27,5.55,1.57,12.75,43.89,2.42,15.41,6.02,0,4.44,0,0.74,3.3,4.52,3.62
3062 建漢,月報酬率 %,-15.909,11.4112,1.0781,10.1333,1.2131,2.2614,-7.1253,-3.4395,5.7533,-1.0363,5.7592,1.9801,-4.3689,2.2844,-0.2481,0.7464,-2.143,-2.3621,-0.8064,-0.8131,-0.8197,11.0192,-6.2034,-1.0583,-6.4172
3062 建漢,現股當沖比重,2.16,18.82,6.01,7.44,4.22,6.78,2.91,2.88,1.01,0.16,12.78,6.68,10.21,3.6,2.85,7.34,36.16,4.77,4.63,4.4,4.27,26.97,10.2,23.56,9.32
3090 日電貿,月報酬率 %,-5.6001,0.0001,2.5424,1.7454,6.1948,-0.4166,2.0922,-2.4589,2.5211,0,8.4016,1.323,2.6119,4.0001,6.8183,-3.6556,2.9089,-2.2967,3.2548,24.1683,0.1411,6.7607,0.5276,37.5328,37.023
