證券代碼,Data Field,2013/6/14,2013/6/21,2013/6/28,2013/7/5,2013/7/12,2013/7/19,2013/7/26,2013/8/2,2013/8/9,2013/8/16,2013/8/23,2013/8/30,2013/9/6,2013/9/14,2013/9/18,2013/9/27,2013/10/4,2013/10/11,2013/10/18,2013/10/25,2013/11/1,2013/11/8,2013/11/15,2013/11/22,2013/11/29,2013/12/6,2013/12/13,2013/12/20,2013/12/27,2013/12/31,2014/1/3,2014/1/10,2014/1/17,2014/1/24,2014/1/27,2014/2/7,2014/2/14,2014/2/21,2014/2/27,2014/3/7,2014/3/14,2014/3/21,2014/3/28,2014/4/3,2014/4/11,2014/4/18,2014/4/25,2014/5/2,2014/5/9,2014/5/16,2014/5/23,2014/5/30,2014/6/6,2014/6/13,2014/6/20,2014/6/27
8076 伍豐,週報酬率 %,-2.4823,-1.4547,-0.9226,0.1863,-0.5576,-1.3083,5.6818,3.2258,11.4583,9.5016,10.9531,-0.8975,11.3841,-3.0198,0.3593,19.4767,20.7982,0.4347,0,6.9264,-1.2145,-15.1641,4.3479,-0.463,13.0232,-0.8231,-1.2448,-0.8404,4.661,-1.581,4.0486,-4.2801,1.2196,-1.6065,-0.4082,0,11.4754,6.6177,6.2069,5.5195,1.8462,-0.3021,1.2121,10.4791,-1.897,-11.0497,-1.8634,-4.4304,1.9868,-1.2987,8.5527,4.5455,4.9275,0.5525,8.5165,-3.6534
8076 伍豐,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,6.64,5.11,3.82,6.09,8.58,12.95,0,6.63,9.23,11.99,7.82,12.22,8.98,8.24,7.37,18.75,10.16,12.65,7.55,7.32,6.41,9.22,15.05,10.64
8086 宏捷科,週報酬率 %,-8.9888,-5.5556,-2.9411,-0.3367,-3.3784,1.3986,14.4828,-6.6265,-4.1936,0.3367,-0.671,-1.0134,1.3652,-9.0909,0,4.8148,-2.1202,-6.1372,-5.7692,2.8571,9.5237,-0.7245,-5.8395,0.7752,1.5385,-1.5153,-2.6923,-0.7905,11.5537,8.7301,1.0715,9.5407,-4.5162,3.3784,-5.2288,8.2759,3.5032,11.3846,-2.7624,-4.2614,2.0771,-2.3257,7.1429,1.6667,3.5519,10.8179,0.0001,0.2381,-1.1877,-2.4038,6.8964,15.2073,5.8,5.482,-4.4803,-2.0638
8086 宏捷科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8299 群聯,週報酬率 %,-4.4355,0,4.0085,-0.6085,1.8368,-2.6052,-3.0865,-7.8556,-2.9955,4.531,-1.8868,0.9615,4.7619,0.909,0.6756,-3.132,0.2311,0.2304,1.6091,-2.7149,-3.0232,-3.5971,1.2438,-14.4964,4.3104,-0.8265,-2.7777,0.2857,3.9886,7.0224,5.4795,-0.5195,0.7833,0.5181,-2.0619,1.5789,0.5181,-0.5154,4.6632,-1.4851,-2.2613,0.0001,-0.7713,3.627,-1.5,0,2.0304,3.4826,0.2405,5.9952,-1.3575,0.9174,4.7728,-0.8676,3.72,0.2109
8299 群聯,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,2.4,2.08,1.3,5.92,5.07,2.58,6.92,2.04,3.37,3.66,1.54,2.6,2.4,5.35,5.33,5.03,4.31,9.76,3.53,2.03,8.83,2.08,5.73,2.86
8358 金居,週報酬率 %,-0.222,-0.1112,0.2227,-1.0001,0.6735,0.3345,0,-0.5556,0.4469,-0.1112,-1.4477,0.791,2.5785,-3.388,0.6788,0.7865,-0.5574,-2.1301,-1.4891,-1.6278,0.9456,-3.63,-4.0097,-5.6962,3.4899,-1.8158,1.7174,4.1559,2.3691,-0.358,0.8526,1.2078,-0.4773,-2.8776,-2.2222,2.7778,4.2999,3.6514,5.1137,-2.4865,0.2218,2.8761,-1.9354,1.9737,-1.613,-0.765,0.9912,0.3272,3.5869,-2.4135,0.5375,2.0321,2.7254,2.5511,1.4925,1.9607
8358 金居,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8406 金可-KY,週報酬率 %,-0.1015,-3.8618,6.9766,-3.4585,10.7471,6.8312,-4.1885,2.9145,-0.8848,-1.6072,-0.5444,-6.0219,-2.9126,5.2001,6.4639,-4.6428,4.6817,-3.9356,4.283,-0.1786,0.3578,5.5259,2.027,3.1458,1.4445,1.2658,-7.1875,4.377,-5.6452,-4.2518,-1.8805,1.9164,-4.4445,0.8944,-0.5319,1.2478,-4.0493,4.2202,4.2254,-2.0271,1.3793,-6.4626,-5.2729,4.0308,-5.9041,5.8825,-5.1853,1.3672,0.7707,-1.7209,2.7236,4.9243,3.2491,-7.6923,0.1894,-2.0794
8406 金可-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,7.37,14.42,4.52,6.58,2.97,7.41,10.65,6.75,8.38,2.7,8.06,8.14,7.53,7.82,12.82,13.25,3.62,5.26,9.47,9.65,13.8,4.7,10.67,0.68
8436 大江,週報酬率 %,3.3325,-1.1584,2.858,-2.3525,0.4784,16.1237,17.8615,6.0127,1.3955,-4.4602,5.0458,-5.2215,5.2306,47.3119,0.3651,-8.3635,4.7619,-5.303,-0.8,1.6129,0.7936,-7.874,-9.4017,-0.0001,-5.1887,10.9454,-11.2107,1.0101,3.0001,1.9513,3.8835,-5.1402,-3.4482,-0.0001,-1.0204,-1.134,-1.3555,-3.3827,5.6892,-0.6213,5.2082,-5.0495,2.2941,7.0336,-7.1428,-1.2308,-4.4651,0.326,-0.8667,-14.5354,-1.1509,0,-6.8563,-0.5556,3.9106,30.9139
8436 大江,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8942 森鉅,週報酬率 %,-0.6001,3.0182,-0.7813,3.3464,3.8095,-3.8531,2.4809,-0.7449,-0.1876,1.5037,-1.1112,1.4982,-4.8787,3.8462,-1.7544,-0.1984,5.7655,4.3234,2.1622,-0.1764,-1.0601,-4.2858,1.1194,6.6421,1.2109,-2.3932,0.7005,5.5652,1.4827,2.2913,2.1104,-0.7951,0.9616,3.9683,0,6.4122,12.6255,1.6562,7.7695,1.279,3.3296,-5.6667,-2.9446,-0.9709,3.3088,-1.6608,-1.0857,6.7073,-0.5715,-0.23,0.2305,-1.4943,-1.0502,0.8254,-1.9884,5.1311
8942 森鉅,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0.17,2.42,1.1,3.38,8.2,3.73,5.81,9.94,9.72,6.89,4.58,6.51,8.65,11.63,6.32,6.56,5.58,5.61,5.46,6.9,5.02,3.32,5.29,6.32
