證券代碼,Data Field,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/27,2018/3/31,2018/4/30
6438 迅得,月報酬率 %,-0.8493,-3.6405,-2.2222,0.4544,0.702,-1.8781,7.7803,7.011,7.7371,3.0006,1.9616,7.238,28.5715,27.7777,-7.6812,11.4601,16.964,-4.3316,2.5872,-1.5133,-2.811,18.0372,-7.3033,-2.0605,-8.911
6438 迅得,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.62,44.49,15.87,13.72,7.09,9.9,57.19,23.16,7.8,5.43
6441 廣錠,月報酬率 %,9.1006,2.4186,21.6627,2.5786,6.4255,18.8679,-3.2858,-12.1943,13.4952,2.2894,0.6118,18.4031,-3.3653,0.14,-5.0138,20.9065,4.0943,32.9999,15.0376,-7.8431,-5.9576,3.7707,-7.7037,2.0474,-6.4815
6441 廣錠,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6446 藥華藥,月報酬率 %,-4.8501,8.8158,12.5012,15.7232,-10.8697,18.9026,-16.6668,11.6921,-11.0194,-10.8359,12.8473,-3.6923,-3.8339,-1.6611,-0.6758,2.0406,-1.3335,-2.0269,-1.7242,3.8594,-3.3783,6.2936,13.4867,1.7393,3.7037
6446 藥華藥,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6457 紘康,月報酬率 %,-2.3935,-1.9072,-1.3887,-1.4547,-2.8876,2.9734,-3.9514,-10.2848,4.5855,3.8785,-3.5714,6.0608,2.3809,-4.4962,3.1301,-6.2292,1.2568,6.0281,2.3411,31.6993,-14.3923,0.5796,-6.3399,3.3847,-6.994
6457 紘康,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6461 益得,月報酬率 %,-6.9003,4.9117,-6.3078,13.9138,6.278,-1.211,-3.1273,-9.8657,0.2006,-2.5167,4.1069,3.1273,11.7485,-9.5357,-1.5946,12.3866,-3.0057,-4.2581,2.6316,-2.2564,10.7031,10.3319,1.9115,27.0115,8.5972
6461 益得,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6462 神盾,月報酬率 %,-3.8328,2.5363,9.5409,22.9031,23.6222,-2.5479,-0.0002,22.6582,-5.8612,-0.7547,-0.3801,-6.1069,-32.3171,14.1141,9.4737,17.3078,14.7542,-2.4999,-17.2161,12.832,-11.1765,-2.4282,-26.2444,-12.5769,0.3508
6462 神盾,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,21,34.78,42.32,46.97,31.32,41.61,44.14,41.08,38.62,34.17,43.21,15.99,34.59
6465 威潤,月報酬率 %,-7.4521,-3.2466,1.8794,5.1368,-10.3546,-5.3796,0.3344,-2.1667,10.3916,4.0124,-0.1484,5.7949,-5.1967,5.6295,8.6957,30.2756,-2.2842,-3.3766,1.3438,-7.2943,-9.1561,1.2598,4.199,-7.6118,-0.1615
6465 威潤,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,12.35,0,0,0,0,0
6469 大樹,月報酬率 %,-5.3615,2.1081,0.5159,1.3441,8.8184,-3.6342,-5.7219,6.4828,1.2953,3.069,6.3273,-0.8172,0,2.4705,11.5956,-3.2923,8.5529,0.9134,-0.3394,-2.3836,-0.9303,-5.2816,-1.2392,5.2697,8.5818
6469 大樹,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6470 宇智,月報酬率 %,-8.9816,2.5431,-2.844,4.8673,15.1898,-4.945,-8.6704,-0.8437,2.1275,4.5833,3.1873,39.9614,-6.069,-10.5726,-9.0311,0.7526,-11.079,-4.6587,-9.7726,-4.7858,-5.1587,-0.4184,2.3809,-2.8728,-14.9295
6470 宇智,現股當沖比重,0,1.15,0,2.54,7.61,1.62,0,0,4.65,2.63,2.25,33.87,29.32,5.88,3.47,10.32,15.23,28.81,6.12,0,11.11,6.52,2.86,20,9.05
6472 保瑞,月報酬率 %,6.03,-1.4814,4.5627,13.1897,4.2944,-3.6765,2.2594,-1.9858,-0.2285,-5.0076,-6.7824,23.2759,39.3846,-12.4723,1.1351,-12.8101,-1.9033,6.7168,-5.035,-6.9219,13.924,7.9166,1.287,168.107,20.3793
6472 保瑞,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6482 弘煜科,月報酬率 %,0.0001,-7.3864,-3.0303,20.7814,-10.0902,2.0027,-2.8346,-23.825,5.9576,1.2048,14.286,-4.6876,-5.1002,4.0307,-8.6714,-5.0503,-22.5533,8.6786,-0.9986,-3.0259,-0.2972,-2.0865,0,-2.5876,0.0002
6482 弘煜科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6485 點序,月報酬率 %,4.0451,21.3065,13.3334,0.1131,5.6213,-26.0811,0.9142,-1.0869,4.2125,-7.9086,3.6261,-7.735,-8.0839,-9.8808,1.9276,9.6928,-1.97,-4.7382,-15.3143,15.3014,3.4851,28.7566,-13.8834,39.9532,-9.0151
6485 點序,現股當沖比重,0,0,0,0,0,2.03,11.23,5.49,6.22,4.37,2,0,3.81,2.56,4.03,29.87,0,9.56,7.58,8.38,0,25.44,8.58,33.77,8.24
6486 互動,月報酬率 %,-8.085,-0.162,-0.9969,2.9599,8.0489,28.3334,-11.2162,0.0001,-0.266,-4.9335,-0.8417,45.6861,29.5147,-14.3928,-6.6551,8.1848,14.1263,-15.961,-3.8761,-15.2218,2.8538,3.5839,-4.0178,20.93,-9.4231
6486 互動,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,17.72,40.21,27.32,17.35,34.85,39.42,26.74,7.07,11.35,5.55,4.19,0,20.45,17.08
6488 環球晶,月報酬率 %,-2.628,-7.0175,3.6285,-1.8283,16.386,1.4474,1.0376,25.9308,17.2272,24.3477,33.916,18.5378,-4.8456,12.7315,-12.7313,13.4144,0.4195,25.8876,15.5885,15.7819,-1.4871,12.2015,-4.4844,6.8076,6.1537
6488 環球晶,現股當沖比重,0.57,2.53,1.4,0,9.1,5.46,1.21,13.57,33.74,34.11,34.79,36.16,39.46,11.81,39.74,35.96,29.1,53.58,47.32,39.21,54.5,62.68,41.59,37.14,35.35
6492 生華科,月報酬率 %,-0.361,11.2318,-1.6807,3.3329,11.2537,4.346,-3.8888,10.3505,-2.8279,4.084,1.4006,-4.7381,-8.6419,-15.2027,-1.9922,-24.2278,-26.8242,14.5159,-1.4083,-7.9222,-4.5134,3.5451,-7.8458,34.9848,21.5593
6492 生華科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6494 九齊,月報酬率 %,-0.8573,16.7306,12.7131,4.3209,16.864,-9.2405,-12.134,0.6349,3.3124,6.7174,10.1573,5.1948,8.5185,25.1419,-2.9091,11.0865,12.6786,13.3125,-6.9929,-2.5565,-0.3085,-0.3095,-1.8633,-12.3419,-11.5522
6494 九齊,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6496 科懋,月報酬率 %,5.1174,0.263,-6.8241,-1.6901,-4.1768,4.5032,-9.3612,-1.8031,5.1753,-3.9683,29.4215,-6.2578,5.8583,-6.1777,7.5446,-4.2857,5.6339,10.0002,-6.5453,-1.167,-3.0185,1.624,-2.6632,7.387,-5.9873
6496 科懋,現股當沖比重,6.57,10.37,0,0,0,4.81,0,0,8.11,0,3.79,3.12,2.7,2.78,15.93,1.68,17.31,26.6,8.82,10.33,7.41,3.87,2.97,11.4,11.53
6497 亞獅康-KY　,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35.9403,-5.5492,-10.3118,14.9732,-8.0233,-5.1832,-11.4667,36.8976,-2.3102,12.6127,-1.6
6497 亞獅康-KY　,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6499 益安,月報酬率 %,-16.1297,19.9471,6.5593,29.9243,-12.5364,2.6666,0.9742,-7.7169,1.0452,-30.3448,7.9206,-11.0092,-10.7216,12.7021,0.922,0.5077,-7.0709,-6.8479,14.2357,-10.0102,-5.335,0.7192,2.381,108.1391,-9.4973
6499 益安,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6506 雙邦,月報酬率 %,-0.2415,7.7484,-7.4158,7.5242,6.7647,0.8947,-2.6607,4.5555,10.4576,-3.9447,1.0268,3.0487,-0.5918,-6.7459,2.7658,-0.621,-0.0516,-3.1746,-1.6394,-1.4287,7.971,-3.8031,-0.9302,1.1738,-1.856
6506 雙邦,現股當沖比重,1.28,3.89,5.35,15.51,6.6,1.31,9.01,6.32,0.33,0.77,1.81,0,0,0.98,0,0.65,0,0,1.31,0,0,0,0,0,0
6508 惠光,月報酬率 %,-0.9558,5.0193,-3.3088,4.7528,6.2689,-2.9198,-2.2556,-1.7308,0.3914,3.7037,3.1954,2.9144,-1.9467,-4.3322,1.5096,-0.3716,3.7873,-0.1923,2.8902,-1.4982,1.1406,0.7518,0.7462,-0.3703,1.1153
6508 惠光,現股當沖比重,0,15.56,0,3,5.14,0,4.04,0,0,0,3.87,0,0,0,0,0,0,0,4.71,50.62,27.25,5.36,0,5.66,2.21
6509 聚和,月報酬率 %,1.0417,0.0001,2.0619,1.2627,-8.5999,0.5635,5.8824,-5.0263,0.2787,1.6668,1.3663,-2.4257,-2.2098,-0.565,2.2729,-2.4776,16.4223,0,-3.7784,-4.4503,15.8904,-5.4373,-0.9999,-5.5555,-2.1391
6509 聚和,現股當沖比重,3.84,1.27,5.29,3.77,2.8,0,12.05,6.53,2.44,4.92,0.81,0,1.46,12.36,12.93,0,44.65,21.89,28.15,3.78,29.86,21.9,10.99,3.43,0.8
6510 精測,月報酬率 %,-5.5299,17.2357,-2.4965,8.7412,38.5223,11.9047,-10.6384,12.3811,0.8475,-6.7226,25.6756,-2.509,-13.6031,14.4681,-3.3458,9.8979,-0.0001,-11.9718,-12.3997,3.6531,0.8811,3.9301,-10.9244,-24.7168,-4.5113
6510 精測,現股當沖比重,19.73,25.84,30.32,38.11,41.89,34.81,38.97,27.18,28.15,22.04,22.12,25.06,47.21,34.95,38.34,47,32.57,30.09,33.9,24.96,40.14,42.71,21.24,18.64,25.74
