證券代碼,Data Field,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/27,2018/3/31,2018/4/30
6577 勁豐,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34,5.35,0,36.11,29.33,8.79,2.49
6578 達邦蛋白,月報酬率 %,0,0,0,-5.1176,10.993,6.3832,-3.7144,-5.9349,0.8835,1.4694,1.5717,6.2197,-8.569,3.3739,-2.6897,-13.6645,-2.7093,9.2371,-10.1105,13.2515,2.3113,-6.1419,1.1659,-5.2044,16.0785
6578 達邦蛋白,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6589 台康生技,月報酬率 %,0,0,0,0,0,0,0,-25.6909,-6.1415,9.489,-3.5476,-6.1962,0.0001,-8.1578,0.2865,-0.4286,-13.9168,-0.0333,-3.0011,-6.8409,-6.4576,-1.7359,8.7483,26.953,8.1658
6589 台康生技,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6590 普鴻,月報酬率 %,0,0,0,0,0,-0.0002,6.3198,8.8411,-2.1777,6.0071,-4.9998,10.3509,-3.6567,3.4653,-3.5088,3.8015,-15.1515,2.381,-4.5737,-1.5028,-3.6289,0.5134,-8.4717,5.2095,6.2335
6590 普鴻,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6593 台灣銘板,月報酬率 %,0,0,0,0,0,-6.8095,-19.5197,1.5872,18.7499,-17.1051,-0.4762,11.5789,14.3511,1.3001,-6.2193,9.0788,-2.5642,7.8949,-4.8779,60.6667,-13.4855,-5.2758,-1.2659,-4.8718,-9.1643
6593 台灣銘板,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6594 展匯科,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,190.4762,-19.1187,-8.7319,10.4783,-15.0516,-9.466,-2.4129,-11.1264,-7.8825,0,-7.3826,3.8045,-8.0278
6594 展匯科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6596 寬宏藝術,月報酬率 %,0,0,0,0,0,0,-9.5238,-5.2457,11.1092,-10.8482,4.2992,4.821,-10.241,5.7141,4.7354,-1.7856,6.9092,12.245,16.6665,18.5715,-12.6626,-3.2461,-10.6909,15.1014,3.2001
6596 寬宏藝術,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6603 富強鑫,月報酬率 %,-6.4816,0.4951,0,6.4039,7.4076,-1.4848,-5.0001,-1.4356,5.3399,5.069,6.1403,4.1325,-4.3651,-2.9045,3.8464,3.8943,13.5021,-6.6913,11.5538,-1.4285,21.3767,-7.7611,1.9418,-2.5394,3.5833
6603 富強鑫,現股當沖比重,0,0,5.31,1.26,0,2.43,0,0,0,0,0,17.05,0,3.22,6.75,1.5,6.31,3.51,10.57,2.24,49.2,8.21,27.89,6.79,14.48
6609 瀧澤科,月報酬率 %,-3.4091,3.7254,-4.5369,2.0997,-4.7131,0.2151,-1.2875,-3.9131,-5.8823,2.4038,10.798,-4.0254,-3.3113,12.3287,-3.6585,-0.027,-0.6493,3.2682,-2.9537,18.2608,-1.8381,49.6257,-11.3893,-5.6496,-3.2933
6609 瀧澤科,現股當沖比重,1.87,4.05,9.73,0,3.44,0,2.49,0,1.05,0,0,0,0,21.75,4.05,12.77,0,19.69,0,15.41,6.46,33.93,26.61,28.1,6.66
6612 奈米醫材,月報酬率 %,0,0,0,0,0,0,0,0,4.2553,-6.1222,9.9565,-9.0549,-4.7827,2.7398,11.1112,4,0.8076,-5.5704,5.8586,-3.626,3.9602,-4.3809,-3.3863,7.2164,2.4998
6612 奈米醫材,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6613 朋億,月報酬率 %,0,0,0,0,0,0,0,0,45.9107,15.1756,14.6529,47.3494,-3.3965,6.1267,5.0146,14.2623,-0.5238,-2.1274,-0.8643,2.9004,32.5926,-4.19,6.997,2.4522,7.9785
6613 朋億,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94
6615 慧智,月報酬率 %,0,0,0,0,0,0,0,0,0,77.778,-5,-6.9999,13.3985,-7.0493,8.7786,-6.2193,4.0541,-3.896,11.0676,3.1512,26.2091,16.6667,-8.9286,15.6862,32.2035
6615 慧智,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6616 特昇-KY,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8888,-8.1632,-3.0553,-12.0345
6616 特昇-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6624 萬年清,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,61.2501,1.8827,-0.8696,-0.2193,20.0702,2.4075,0.3618,0.9009,-2.7142,-2.7166,1.887,7.7775,4.4674,-4.1117
6624 萬年清,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6629 泰金-KY,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6629 泰金-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6640 均華,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7502,2.6591,-0.5254,-4.7169,-0.99,6.4199,-0.2067,-0.094,0.8484
6640 均華,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6642 富致,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4901,-1.5624,-2.8889,-4.8707,3.7801,-0.6954,10.0368
6642 富致,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6643 M31,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0435,-4.0671,-13.1458,6.446,4.9801,-5.4951,7.2201,-10.1161
6643 M31,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6649 台生材,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9706,-7.0968,1.3887,-0.685,-4.8138,-6.97,-12.3053,-2.3089,-2.1636
6649 台生材,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6654 天正國際,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30.2084,2.8799,11.1977,6.2938,-1.3158,10.0002
6654 天正國際,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6662 樂斯科,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.9374,-8.4032,-5.5229,-18.994
6662 樂斯科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6664 群翊,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3448,-6.9337,-2.2746,7.7957,2.4783,0.4102,2.6056
6664 群翊,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6667 信紘科,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.421,3.0891,-4.2035,3.5104,-3.0219,1.0986
6667 信紘科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6679 鈺太,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6679 鈺太,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6680 鑫創電子,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6680 鑫創電子,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6683 雍智科技,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6683 雍智科技,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6803 崑鼎,月報酬率 %,5.7228,-0.8547,2.8736,6.7343,-4.4078,2.3055,-1.1267,0.0001,-0.8548,0.5747,1.9999,-0.0001,-2.8012,1.7291,0.5666,1.0159,-0.2975,-1.4924,1.212,-0.5987,-0.9035,2.4314,0.5935,2.3598,0.2882
6803 崑鼎,現股當沖比重,0,0,0,0,0,2.89,5.33,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,6.19,8.63,4.75
7402 邑錡,月報酬率 %,6.1697,-0.242,-4.8543,1.0461,-19.3506,1.1273,4.618,-8.6759,16.6667,-1.4286,-1.4491,-1.4706,19.4029,2.0001,1.9608,-8.6537,-4.1424,-3.3333,-6.4039,-17.3685,-1.274,-6.4516,8.0459,4.2553,1.7348
7402 邑錡,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8024 佑華,月報酬率 %,-0.463,-4.6511,4.39,11.5088,0.855,-2.5424,5.2174,-8.2645,4.5045,-1.293,2.62,-1.7025,-0.4331,-3.9132,3.6198,-3.9299,-0.9718,7.0755,0,3.5243,-4.6807,2.2323,-3.4935,33.4844,-23.3897
8024 佑華,現股當沖比重,0,0,10.14,8.98,0,0,5.19,0,0,0,0,0,3.85,6.53,45.16,13.68,18.31,0,0,0,0,10.09,10.12,39.24,12.15
8027 鈦昇,月報酬率 %,0.8697,-8.0462,4.6878,-2.9135,33.2286,-12.4705,-18.2795,-6.25,-3.158,31.8839,17.3077,35.597,19.1709,-2.1738,-9.926,-0.2678,-4.9836,32.5176,-0.7915,5.3193,1.01,17.3749,2.6624,-6.8465,-11.4699
8027 鈦昇,現股當沖比重,3.85,0,11.67,0,7.82,0,2.94,11.92,0,5.95,6.15,14,29.5,7.73,4.51,6.04,1.99,28.81,22.12,26.71,19.8,21.2,26.86,9.57,17.6
8032 光菱,月報酬率 %,-5.7628,-8.0935,-5.6751,7.5017,3.0487,-0.5919,-1.1905,-1.2049,0.813,0.6048,0,3.4068,1.7443,-3.4288,-0.7889,0.6903,4.4585,-3.2521,-2.521,2.8018,-0.0001,0.2099,0.2093,8.9771,-4.4061
8032 光菱,現股當沖比重,0,0,0,0,0,8.33,0,20,0,0,0,0,16.67,14.29,10,0,0,16.67,3.33,0,0,0,11.11,15.53,1.75
8034 榮群,月報酬率 %,-8.0647,-6.1404,-0.5607,0,26.6921,-2.6708,-3.0488,-2.044,3.5312,0,18.7599,17.7547,29.7119,-3.8461,-7.5556,-8.6536,21.5792,6.4936,-5.2846,14.5922,-2.6218,31.1538,-7.0379,-6.6247,-18.2432
8034 榮群,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8038 長園科,月報酬率 %,4.2758,-1.0584,-7.2192,-13.1124,3.6483,-6.0801,-27.087,8.645,12.6879,-3.435,-6.3242,-8.5444,-2.6528,-1.3034,-0.3601,6.0242,21.8184,-7.6492,-5.4546,-9.1881,-2,1.2004,-2.4912,-6.8126,-6.7887
8038 長園科,現股當沖比重,0,0,0,9.17,13.3,7.04,14.45,23.68,11.5,13.45,4.89,1.42,5.33,11.87,1.72,14.44,42.41,0,0,0,0,0,0,0,0
8040 九暘,月報酬率 %,-1.9705,-6.784,0.2696,8.0647,9.4526,-8.9771,-6.9911,-5.9059,0.428,-0.5683,2.5713,-2.2284,0.2847,8.807,2.35,0.1274,-4.7134,-1.2029,-2.3002,10.8033,12.875,6.8659,5.6994,19.6074,-14.7542
8040 九暘,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8042 金山電,月報酬率 %,-3.7208,9.6619,-0.4404,15.1333,2.359,9.8197,-5.4743,18.1469,-1.9608,-3.1665,-1.377,-3.1416,-0.9007,5.4545,1.2068,-5.5505,5.1825,1.6424,-0.0001,8.9769,11.6965,2.9498,-0.8596,-1.7342,-10.7353
