證券代碼,Data Field,2015/7/31,2015/8/31,2015/9/30,2015/10/30,2015/11/30,2015/12/31,2016/1/30,2016/2/26,2016/3/31,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31
1305 華夏,現股當沖比重,0,0,0,0,0,0,0,8.55,3.78,3.05,2.54,4.53,0.91,3.74
1307 三芳,月報酬率 %,-13.7776,-2.579,38.2354,-13.9362,0.3708,-4.5567,-7.7418,3.3565,6.3601,-2.4173,0.3912,-1.4284,6.8129,-3.4481
1307 三芳,現股當沖比重,1.79,5.73,28.48,0,0,0,0,1.32,3.12,2.35,0.42,0,0.63,0
1308 亞聚,月報酬率 %,-9.0268,8.7664,5.0746,7.1022,-6.8967,-1.7094,6.3766,3.8148,-4.4619,-1.6485,-2.7934,-1.7242,5.263,4.2474
1308 亞聚,現股當沖比重,0,0,0,0,0,0,0,3.01,5.93,1.12,1.99,3.43,0.25,2.09
1309 台達化,月報酬率 %,-8.5365,20.4,-6.5336,8.0568,-21.0525,5.1388,-1.8493,4.0378,-0.1292,-0.9067,-2.8757,-1.8843,3.5665,1.3246
1309 台達化,現股當沖比重,0,0,0,0,0,0,0,2.86,0,2.07,5.54,0,1,1.22
1310 台苯,月報酬率 %,-1.9934,-13.5594,5.8824,4.8146,-5.3003,27.2389,1.173,6.0869,-3.5519,-8.2152,-2.778,-0.3175,7.6431,2.1823
1310 台苯,現股當沖比重,0,0,0,0,0,0,3.99,3.17,4.07,2.3,0.7,5.98,3.76,2.65
1312 國喬,月報酬率 %,-18.6554,3.7976,-8.2317,5.9799,-15.0472,14.3911,2.5808,5.6605,2.9761,-2.8904,-5.9522,-1.5823,13.6694,-4.4643
1312 國喬,現股當沖比重,5.03,6.35,2.39,2.48,3.76,7.35,10.29,3.62,3.5,2.71,4.27,5.8,4.25,5.8
1313 聯成,月報酬率 %,-9.3268,-2.8112,2.9052,7.8177,-9.3655,5.4443,-7.376,3.6406,-0.8779,-3.4329,1.491,2.3729,0.6621,8.6293
1313 聯成,現股當沖比重,0,0,0,0,0,0,0,8.51,1.03,0,1.46,2.2,0,5.13
1314 中石化,月報酬率 %,-9.6135,-7.3988,7.9899,-4.2773,-7.0048,2.987,0.6306,1.0023,0.4964,0.7406,-6.8626,-4.8687,4.841,-2.5066
1314 中石化,現股當沖比重,3.13,5.91,3.48,6.29,2.69,7.3,3.64,5.34,2.58,4.9,1.98,2.38,6.8,1.72
1315 達新,月報酬率 %,-0.4348,-7.0513,5.0575,3.2821,-0.6356,-2.5585,0.6565,1.5218,4.4967,-3.0738,2.1143,1.8634,3.2065,0
1315 達新,現股當沖比重,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0
1316 上曜,月報酬率 %,-9.7777,-7.389,3.9362,2.2518,-1.101,-1.8219,1.5463,0.3045,6.7814,-0.948,8.1341,-0.8848,-1.7859,0
1316 上曜,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319 東陽,月報酬率 %,2.9097,-16.9281,19.7801,9.0213,8.4153,4.7864,10.7407,10.3679,-2.323,1.6546,-1.6278,-1.1376,23.0383,11.3238
1319 東陽,現股當沖比重,14.69,8.06,17.46,7.83,6.49,14.74,9.61,14.31,10.51,8.28,15.43,5.04,16.94,15.2
1321 大洋,月報酬率 %,-19.9331,12.3431,12.1043,-4.6513,-7.6655,-2.0755,-6.5511,9.0721,1.5125,-3.7245,-0.1933,-2.7133,5.5777,-2.2643
1321 大洋,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323 永裕,月報酬率 %,-5.3857,-12.0755,12.4462,1.9083,-2.622,-5.9616,0.8177,8.5191,19.4393,2.9735,5.3192,-3.1605,3.5937,0.6032
1323 永裕,現股當沖比重,0,0,0,0,0,0,0,0.78,3.09,4.74,10.55,1.01,0.77,0.71
1324 地球,月報酬率 %,-5.8826,2.404,4.348,3.241,4.0358,-4.3103,1.3514,-1.7779,1.3574,-1.3393,0.4525,0.4504,2.2421,10.0877
1324 地球,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0
1325 恒大,月報酬率 %,5.8151,-1.7631,1.5385,3.5354,1.4634,0.9615,-0.9523,0.7211,-6.2052,-0.7633,0.0001,1.5384,4.0672,-1.005
1325 恒大,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0
1326 台化,月報酬率 %,2.4521,-6.952,-4.0229,11.527,-5.2348,4.8159,-3.6485,4.9089,7.2193,2.7431,-0.2427,-1.4599,7.2078,-0.8423
1326 台化,現股當沖比重,2.35,3.19,2.09,2.22,2.82,5.73,1.89,5.28,3.22,3.22,2.06,2.82,3.41,5.18
1337 再生-KY,月報酬率 %,-16.7644,-9.1527,7.8357,59.8616,-16.0173,-6.7009,-4.4197,6.9364,5.946,-3.5714,2.6456,-5.1547,0.2717,8.13
1337 再生-KY,現股當沖比重,0,0,0,0,0,0,0,3.83,14.32,13.16,5.45,7.62,1.97,6.62
1338 廣華-KY,月報酬率 %,-22.2734,-5.8606,26.358,34.1718,5.0781,-11.5244,4.2018,8.4679,-8.1786,2.8341,-2.3621,-8.0644,5.3685,1.7316
1338 廣華-KY,現股當沖比重,7.51,4.21,11.56,0,0,0,10.48,9.68,6.96,7.82,6.86,3.15,6.22,4.92
1339 昭輝,月報酬率 %,3.1668,-0.8263,-35.4375,7.9396,0.3503,6.8062,-9.3136,5.0449,-3.4306,-1.4212,-20.1801,-0.3386,4.1905,-0.9053
1339 昭輝,現股當沖比重,0,0,0,0,0,0,0,2.58,3.32,3.9,3.52,3.34,0,0.9
1340 勝悅-KY,月報酬率 %,-10.2019,2.8792,11.3014,16.1537,-5.5628,-10.3788,-2.5041,14.7674,-3.2169,10.8381,-16.1668,-3.2659,-8.1992,13.5537
1340 勝悅-KY,現股當沖比重,0,0,0,0,0,0,0,8.5,12.76,5.56,4.02,6.27,6.64,7.19
1341 富林-KY,月報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341 富林-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402 遠東新,月報酬率 %,-3.4006,-1.0066,-0.678,1.024,-10.8112,-2.4621,-5.8251,4.3298,3.9525,-8.1749,-4.7617,4.3478,8.082,-6.0241
1402 遠東新,現股當沖比重,1.71,2.57,2.66,7.49,4.4,3.17,4.15,12.33,2.45,2.24,3.12,3.16,2.4,1.36
1409 新纖,月報酬率 %,-1.1,-9.9414,2.2458,2.7745,0.3374,7.3992,-9.7077,5.6648,-0.5469,-5.9407,-1.5205,2.1378,-0.3487,0.2369
1409 新纖,現股當沖比重,0,0,0,0,0,0,0,1.02,3.95,0.38,1.57,0.03,12.52,0
1410 南染,月報酬率 %,-2.6686,2.1739,0.2126,0.6371,-0.211,2.3254,-0.8265,-0.6251,0.2096,0.837,1.8671,-0.0001,1.8108,3.3755
1410 南染,現股當沖比重,0,0,0,0,0,0,0,0,16.07,0,0,0,20.61,0
1413 宏洲,月報酬率 %,-5.5828,-8.0977,15.9441,4.9456,-13.1033,-0.7937,-4,0.0001,-1.3891,-4.7887,-6.3609,6.3191,-2.3773,-4.1096
1413 宏洲,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414 東和,月報酬率 %,-13.4331,-2.9457,1.3654,4.6405,-7.7253,3.5658,-4.7903,-1.5724,0.3194,-3.9809,0.663,-2.3066,9.8918,-5.0635
1414 東和,現股當沖比重,0,0,0,0,0,0,0,0,1.92,1.36,0,0,0,1.55
1416 廣豐,月報酬率 %,-0.9345,-0.6286,2.9158,9.7178,1.3054,-2.4256,-4.6961,3.1884,6.4606,1.3195,1.0416,-1.5464,7.0154,16.1879
1416 廣豐,現股當沖比重,0,0,0,0,0,0,0,1.08,0.3,0,1.05,0,0,2.2
1417 嘉裕,月報酬率 %,-2.817,-18.9855,3.5778,1.5546,-17.1767,6.7763,-1.7308,1.5655,-0.5778,-5.2326,-7.5666,1.9911,2.386,9.1101
1417 嘉裕,現股當沖比重,0,0,0,0,0,0,0,7.79,0,2.19,4.64,0,3.71,0
1418 東華,月報酬率 %,-1.0416,-57.594,70.2126,4.1666,-2.9999,9.2784,-0.9434,2.8572,0.9259,-24.2201,0.9686,8.1534,3.7693,-7.4786
1418 東華,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419 新紡,月報酬率 %,1.8373,1.0831,0.257,-2.6923,-17.2596,20.5414,-6.7372,1.5581,2.65,1.0869,12.7688,3.3374,1.4994,-7.182
1419 新紡,現股當沖比重,0,0,0,0,0,0,0,0,0,5.23,0.36,0.03,0,0
1423 利華,月報酬率 %,-7.152,-9.3536,5.3111,1.8731,-0.5659,-2.4181,-3.0613,-0.752,2.4242,-1.923,-2.8657,-2.795,6.8693,-2.3914
1423 利華,現股當沖比重,0,0,0,0,0,0,0,0,39.92,24.71,31.25,6.98,0,31.49
1432 大魯閣,月報酬率 %,-3.179,-1.7909,13.07,8.602,-3.4653,11.2821,-7.6037,3.7407,9.1346,-7.4892,-2.143,6.5693,-2.7397,-10.3285
1432 大魯閣,現股當沖比重,0,0,0,0,0,0,0,1.36,2.61,3.9,0,3.72,2.37,1.24
1434 福懋,月報酬率 %,-4.704,-5.0335,9.7172,3.7039,-5.4347,-1.478,-1.6665,2.7117,3.7953,-5.8824,5.4054,-0.4808,1.1827,1.3222
1434 福懋,現股當沖比重,5,3.69,1.87,9.02,1.33,0.31,1.14,0.14,4.05,0.28,1.76,1.02,0.8,8.85
1435 中福,月報酬率 %,-7.2309,-12.7374,0.6537,6.9265,-7.8947,10.7695,-6.7459,-2.3404,5.4466,-3.0992,-9.3816,1.8823,2.5402,0.2251
1435 中福,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436 華友聯,月報酬率 %,-2.4007,0.9072,3.9041,-2.0606,2.3516,-2.4186,0,-1.363,0.5025,-0.125,2.1277,-1.3479,0.8694,5.9356
1436 華友聯,現股當沖比重,0,0,0,0,0,0,0,0,0,8.33,0,0,0,9.09
