公司,Data Field,2013/12/31
2321 東訊,負債比率,81.86
2323 中環,負債比率,28.39
2324 仁寶,負債比率,70.26
2327 國巨,負債比率,50.06
2328 廣宇,負債比率,41.15
2329 華泰,負債比率,67.58
2330 台積電,負債比率,32.88
2331 精英,負債比率,47.09
2332 友訊,負債比率,44.41
2337 旺宏,負債比率,46.83
2338 光罩,負債比率,8.74
2340 光磊,負債比率,39.4
2342 茂矽,負債比率,46.34
2344 華邦電,負債比率,35.54
2345 智邦,負債比率,47.67
2347 聯強,負債比率,65.17
2348 海悅,負債比率,57.02
2349 錸德,負債比率,34.92
2351 順德,負債比率,54.26
2352 佳世達,負債比率,74.15
2353 宏碁,負債比率,70.47
2354 鴻準,負債比率,27.27
2355 敬鵬,負債比率,36.66
2356 英業達,負債比率,71.14
2357 華碩,負債比率,53.74
2358 廷鑫,負債比率,14.79
2359 所羅門,負債比率,17.08
2360 致茂,負債比率,31.73
2362 藍天,負債比率,51.54
2363 矽統,負債比率,1.68
2364 倫飛,負債比率,45.39
2365 昆盈,負債比率,37.76
2367 燿華,負債比率,47.33
2368 金像電,負債比率,72.2
2369 菱生,負債比率,24.88
2371 大同,負債比率,69.43
2373 震旦行,負債比率,41.48
2374 佳能,負債比率,40.76
2375 智寶,負債比率,19.47
2376 技嘉,負債比率,37.57
2377 微星,負債比率,44.92
2379 瑞昱,負債比率,42.79
2380 虹光,負債比率,18.91
2382 廣達,負債比率,76.51
2383 台光電,負債比率,52.6
2385 群光,負債比率,52.25
2387 精元,負債比率,44.91
2388 威盛,負債比率,66.63
2390 云辰,負債比率,24.36
2392 正崴,負債比率,60.48
2393 億光,負債比率,52.9
2395 研華,負債比率,29.47
2397 友通,負債比率,16.72
2399 映泰,負債比率,32.69
2401 凌陽,負債比率,27.01
2402 毅嘉,負債比率,38.21
2404 漢唐,負債比率,53.67
2405 浩鑫,負債比率,52.28
2406 國碩,負債比率,48.35
2408 南亞科,負債比率,89.28
2409 友達,負債比率,63.77
2412 中華電,負債比率,17.19
2413 環科,負債比率,62.96
2414 精技,負債比率,50.21
2415 錩新,負債比率,46.21
2417 圓剛,負債比率,8.62
2419 仲琦,負債比率,54.17
2420 新巨,負債比率,55.45
2421 建準,負債比率,45.25
2423 固緯,負債比率,35.7
2424 隴華,負債比率,4.55
2425 承啟,負債比率,48.35
2426 鼎元,負債比率,52.98
2427 三商電,負債比率,34.16
2428 興勤,負債比率,25.85
2429 銘旺科,負債比率,39.84
2430 燦坤,負債比率,56.28
2431 聯昌,負債比率,40.87
2433 互盛電,負債比率,31.94
2434 統懋,負債比率,43.92
2436 偉詮電,負債比率,15.52
2438 翔耀,負債比率,25.34
2439 美律,負債比率,43.2
2440 太空梭,負債比率,47.11
2441 超豐,負債比率,14.12
2442 新美齊,負債比率,51.85
2443 億麗,負債比率,9.66
2444 兆勁,負債比率,41.29
2448 晶電,負債比率,37.36
2449 京元電子,負債比率,41.9
2450 神腦,負債比率,41.79
2451 創見,負債比率,18.25
2453 凌群,負債比率,48.71
2454 聯發科,負債比率,24.47
2455 全新,負債比率,9.6
2456 奇力新,負債比率,51.49
2457 飛宏,負債比率,42.62
2458 義隆,負債比率,21.87
2459 敦吉,負債比率,40.51
2460 建通,負債比率,50.77
2461 光群雷,負債比率,42.15
2462 良得電,負債比率,55.99
2464 盟立,負債比率,44.77
2465 麗臺,負債比率,48.65
2466 冠西電,負債比率,55.61
2467 志聖,負債比率,47.97
2468 華經,負債比率,33.32
2471 資通,負債比率,31.91
2472 立隆電,負債比率,43.13
2474 可成,負債比率,30.08
2476 鉅祥,負債比率,21.19
2477 美隆電,負債比率,29.52
2478 大毅,負債比率,29.09
2480 敦陽科,負債比率,31.26
2481 強茂,負債比率,66.39
2482 連宇,負債比率,20.19
2483 百容,負債比率,15.44
2484 希華,負債比率,33.96
2485 兆赫,負債比率,24.14
2486 一詮,負債比率,54.87
2488 漢平,負債比率,35.69
2489 瑞軒,負債比率,41.77
2491 吉祥全,負債比率,84.47
2492 華新科,負債比率,39.11
2493 揚博,負債比率,26.26
2495 普安,負債比率,12.97
2496 卓越,負債比率,42.58
2497 怡利電,負債比率,33.65
2498 宏達電,負債比率,54.99
2499 東貝,負債比率,56.28
2501 國建,負債比率,51.57
2504 國產,負債比率,51.26
2505 國揚,負債比率,55.97
2506 太設,負債比率,55.87
2509 全坤建,負債比率,29.98
2511 太子,負債比率,64.8
2514 龍邦,負債比率,96.87
2515 中工,負債比率,49.92
2516 新建,負債比率,69.53
2520 冠德,負債比率,72.12
2524 京城,負債比率,61.21
2527 宏璟,負債比率,61.15
2528 皇普,負債比率,22.15
2530 華建,負債比率,60.95
2534 宏盛,負債比率,59.9
2535 達欣工,負債比率,64.53
2536 宏普,負債比率,59.17
2537 聯上發,負債比率,61.13
2538 基泰,負債比率,50.53
2539 櫻花建,負債比率,51.67
2540 愛山林,負債比率,30.38
2542 興富發,負債比率,75.86
2543 皇昌,負債比率,59.58
2545 皇翔,負債比率,72.29
2546 根基,負債比率,51.37
2547 日勝生,負債比率,70.67
2548 華固,負債比率,58.62
2596 綠意,負債比率,36.24
2597 潤弘,負債比率,62.84
2601 益航,負債比率,59.43
2603 長榮,負債比率,65.62
2605 新興,負債比率,39.36
2606 裕民,負債比率,50.4
2607 榮運,負債比率,17.64
2608 嘉里大榮,負債比率,35.4
2609 陽明,負債比率,76.4
2610 華航,負債比率,76.07
2611 志信,負債比率,36.83
2612 中航,負債比率,54.16
2613 中櫃,負債比率,55.01
2614 東森,負債比率,45.9
2615 萬海,負債比率,60.31
2616 山隆,負債比率,48.24
2617 台航,負債比率,24.34
2618 長榮航,負債比率,73.64
2630 亞航,負債比率,31.54
2633 台灣高鐵,負債比率,91.38
2634 漢翔,負債比率,61.07
2636 台驊投控,負債比率,56.18
2637 慧洋-KY,負債比率,67.91
2640 大車隊,負債比率,19.44
2641 正德,負債比率,56.87
2642 宅配通,負債比率,25.08
2643 捷迅,負債比率,58.91
2701 萬企,負債比率,13.06
2702 華園,負債比率,57.03
2704 國賓,負債比率,26.2
2705 六福,負債比率,49.98
2706 第一店,負債比率,12.34
2707 晶華,負債比率,51.78
2712 遠雄來,負債比率,23.33
2718 晶悅,負債比率,27.15
2719 燦星旅,負債比率,46.44
2722 夏都,負債比率,12.18
2723 美食-KY,負債比率,28.93
2724 富驛-KY,負債比率,71.03
2726 雅茗-KY,負債比率,68.75
2727 王品,負債比率,45.25
2729 瓦城,負債比率,15.74
2731 雄獅,負債比率,49.36
2732 六角,負債比率,37.79
2734 易飛網,負債比率,42.98
2736 高野,負債比率,38.26
2739 寒舍,負債比率,59.58
2740 天蔥,負債比率,43.89
2745 五福,負債比率,73.46
2748 雲品,負債比率,58.21
2752 豆府,負債比率,0
2801 彰銀,負債比率,93.39
2809 京城銀,負債比率,88.64
2812 台中銀,負債比率,93.75
2816 旺旺保,負債比率,78.23
2820 華票,負債比率,88.88
2823 中壽,負債比率,93.61
2832 台產,負債比率,57.79
2834 臺企銀,負債比率,95.68
2836 高雄銀,負債比率,95.41
2838 聯邦銀,負債比率,93.48
2841 台開,負債比率,49.66
2845 遠東銀,負債比率,94.12
2849 安泰銀,負債比率,92.75
2850 新產,負債比率,72.55
2851 中再保,負債比率,72.57
2852 第一保,負債比率,64.08
2855 統一證,負債比率,61.88
