公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
1603 華電,M資產總額,0,"8,647,887","7,754,570","7,659,632","7,905,021","7,750,800","7,629,636","7,624,815"
1604 聲寶,M資產總額,0,0,0,0,"12,718,581","11,752,922","12,073,179","11,996,708"
1605 華新,M資產總額,0,0,0,0,0,0,0,"125,144,564"
1608 華榮,M資產總額,0,0,"11,965,740",0,0,0,"12,826,665","12,418,954"
1609 大亞,M資產總額,0,0,0,0,0,0,"18,451,396","18,713,685"
1611 中電,M資產總額,0,0,0,0,0,0,"7,211,704","6,266,334"
1612 宏泰,M資產總額,0,0,0,0,0,0,"5,321,252","5,596,405"
1614 三洋電,M資產總額,0,0,0,0,0,0,"6,507,917","6,688,387"
1615 大山,M資產總額,0,0,"2,179,599",0,0,0,"2,352,300","2,329,204"
1616 億泰,M資產總額,0,0,0,0,0,0,"3,428,051","3,029,753"
1617 榮星,M資產總額,0,0,0,0,0,0,"3,451,077","3,480,976"
1618 合機,M資產總額,0,0,0,0,0,0,"4,392,711","4,335,956"
1626 艾美特-KY,M資產總額,0,0,0,0,0,0,0,"8,753,469"
1701 中化,M資產總額,0,0,0,0,0,0,"10,276,563","10,645,185"
1702 南僑,M資產總額,0,0,0,"18,096,447","19,975,452","22,031,737","22,455,954","22,562,615"
1707 葡萄王,M資產總額,0,0,0,0,0,0,0,"10,035,455"
1708 東鹼,M資產總額,0,0,0,0,0,0,0,"10,937,864"
1709 和益,M資產總額,0,0,0,0,0,0,"10,535,305","10,798,936"
1710 東聯,M資產總額,0,0,0,0,0,0,"35,951,858","37,916,491"
1711 永光,M資產總額,0,0,"13,603,970",0,0,0,"13,724,618","13,805,430"
1712 興農,M資產總額,0,0,0,0,0,0,"15,244,156","15,742,235"
1713 國化,M資產總額,0,0,0,0,0,0,"2,430,374","2,469,782"
1714 和桐,M資產總額,0,0,0,0,0,0,"26,878,888","26,588,043"
1717 長興,M資產總額,0,0,0,0,0,0,"56,465,505","57,213,980"
1718 中纖,M資產總額,"620,545,131","627,946,877","655,102,816","667,370,613","666,961,095","673,677,560","691,729,220","692,787,770"
1720 生達,M資產總額,0,0,0,0,0,0,"6,374,217","6,332,695"
1721 三晃,M資產總額,0,0,"4,285,704",0,0,0,"4,238,119","4,175,569"
1722 台肥,M資產總額,0,0,0,0,0,0,"75,156,891","76,705,544"
1723 中碳,M資產總額,0,0,0,0,0,0,"11,235,537","11,367,130"
1724 台硝,M資產總額,0,0,0,0,0,0,"2,887,422",0
1725 元禎,M資產總額,0,0,0,0,0,0,"5,682,323","5,668,142"
1726 永記,M資產總額,0,0,0,0,0,0,"9,883,383","10,006,535"
1727 中華化,M資產總額,0,0,0,0,0,0,0,"2,578,564"
1730 花仙子,M資產總額,0,0,0,0,0,0,0,"1,970,537"
1731 美吾華,M資產總額,0,0,0,0,0,0,"2,576,596","2,783,966"
1732 毛寶,M資產總額,0,0,0,0,0,0,"564,074","544,727"
1733 五鼎,M資產總額,0,0,0,0,0,0,"2,699,781","2,715,989"
1734 杏輝,M資產總額,"6,269,144",0,0,0,0,0,"6,043,100","6,016,089"
1735 日勝化,M資產總額,0,0,0,0,0,0,"3,073,929","3,056,774"
1736 喬山,M資產總額,0,0,0,0,0,0,"22,267,052","21,429,682"
1737 臺鹽,M資產總額,0,0,0,0,0,"7,075,326","7,247,147","7,227,256"
1742 台蠟,M資產總額,0,0,0,0,0,0,"859,710","974,354"
1752 南光,M資產總額,0,0,0,0,0,0,"3,334,297","3,275,453"
1760 寶齡富錦,M資產總額,0,0,0,0,0,0,"1,247,397","1,683,119"
1762 中化生,M資產總額,0,0,0,0,0,0,"3,447,925","3,316,860"
1773 勝一,M資產總額,0,0,0,0,0,0,0,"5,866,556"
1776 展宇,M資產總額,0,0,0,0,0,0,"2,158,453","2,106,219"
1777 生泰,M資產總額,0,0,0,0,0,0,"1,555,855","1,681,464"
1781 合世,M資產總額,0,0,0,0,0,0,"573,597","611,691"
1783 和康生,M資產總額,0,0,0,0,0,0,"1,103,980","1,095,576"
1784 訊聯,M資產總額,0,0,0,0,0,0,"1,824,948","1,806,633"
1785 光洋科,M資產總額,0,0,0,0,0,0,"19,055,226","19,188,328"
1786 科妍,M資產總額,0,0,0,0,0,0,"1,563,170","1,606,696"
1787 福盈科,M資產總額,0,0,0,0,0,0,"1,841,073","1,943,571"
1788 杏昌,M資產總額,0,0,0,0,0,0,"2,613,352","2,522,004"
1789 神隆,M資產總額,0,0,0,0,0,0,"12,701,389","13,155,454"
1795 美時,M資產總額,0,0,"15,196,851",0,0,0,"15,635,655","15,432,588"
1796 金穎生技,M資產總額,0,0,"496,304",0,0,0,"508,747","574,111"
1799 易威,M資產總額,0,0,0,0,0,0,"1,338,585","1,247,876"
1802 台玻,M資產總額,0,0,0,0,0,0,"84,026,561","84,910,342"
1805 寶徠,M資產總額,0,0,0,0,0,0,"1,501,325","1,398,479"
1806 冠軍,M資產總額,0,0,0,0,0,0,"11,561,619","11,472,185"
1808 潤隆,M資產總額,0,0,0,0,0,0,"26,417,805","23,955,871"
1809 中釉,M資產總額,0,0,0,0,0,0,"5,083,448","5,088,042"
1810 和成,M資產總額,0,0,0,0,0,0,"11,207,467","10,985,846"
1813 寶利徠,M資產總額,0,0,0,0,0,0,"1,322,569","1,371,183"
1815 富喬,M資產總額,0,0,0,0,0,0,"13,364,768","13,639,684"
1817 凱撒衛,M資產總額,0,0,0,0,0,0,"2,103,116","2,024,669"
1902 台紙,M資產總額,0,0,0,0,0,0,"8,004,952","7,947,170"
1903 士紙,M資產總額,0,0,0,0,0,0,"6,630,979","6,561,263"
1904 正隆,M資產總額,0,0,0,0,0,0,"60,159,971","62,596,022"
1905 華紙,M資產總額,0,0,0,"29,068,073",0,0,"30,272,747","30,717,880"
1906 寶隆,M資產總額,0,0,0,0,0,0,0,"10,429,523"
1907 永豐餘,M資產總額,0,0,0,"107,820,738","113,881,443",0,"112,585,773","116,162,500"
1909 榮成,M資產總額,0,0,0,0,0,0,"75,657,194","75,516,950"
2002 中鋼,M資產總額,0,0,0,0,0,0,"667,715,879","665,220,502"
2006 東和鋼鐵,M資產總額,0,0,0,0,0,0,"41,297,392","42,924,810"
2007 燁興,M資產總額,0,0,0,0,0,0,"18,080,761","18,199,801"
2008 高興昌,M資產總額,0,0,0,0,0,0,"5,435,021","5,114,220"
2009 第一銅,M資產總額,0,0,0,0,0,0,"6,030,272","5,992,770"
2010 春源,M資產總額,0,0,0,0,0,0,"17,318,825","17,813,238"
2012 春雨,M資產總額,0,0,0,0,0,0,"10,436,555","9,519,339"
2013 中鋼構,M資產總額,0,0,0,0,0,0,"14,456,364","15,174,378"
2014 中鴻,M資產總額,0,0,0,0,0,0,"31,376,851","30,774,292"
2015 豐興,M資產總額,0,0,0,0,0,0,0,"22,182,321"
2017 官田鋼,M資產總額,0,0,0,0,0,0,"8,064,932","8,097,241"
2020 美亞,M資產總額,0,0,0,0,0,0,"5,998,254","6,063,960"
2022 聚亨,M資產總額,0,0,0,0,0,0,"14,875,472","14,962,639"
2023 燁輝,M資產總額,0,0,0,0,0,0,"87,228,348","86,980,019"
2024 志聯,M資產總額,0,0,0,0,0,0,"2,200,165","2,224,727"
2025 千興,M資產總額,0,0,0,0,"2,389,310","2,099,194","2,198,325",0
2027 大成鋼,M資產總額,0,0,0,0,0,0,"56,902,543","58,866,359"
2028 威致,M資產總額,0,0,0,0,0,0,"6,543,773","6,491,187"
2029 盛餘,M資產總額,0,0,0,0,0,0,"10,491,763","10,376,197"
2030 彰源,M資產總額,0,0,0,0,0,0,"10,476,020","11,100,285"
2031 新光鋼,M資產總額,0,0,0,0,0,0,"13,818,238","14,960,822"
2032 新鋼,M資產總額,0,0,0,0,0,0,"2,004,545","1,983,193"
2033 佳大,M資產總額,0,0,0,0,0,0,"1,158,684","1,181,095"
2034 允強,M資產總額,0,0,0,0,0,0,0,"12,550,177"
2035 唐榮,M資產總額,0,0,0,0,0,0,"19,655,115","19,472,540"
2038 海光,M資產總額,0,0,0,0,0,0,"7,963,363","8,073,732"
2049 上銀,M資產總額,0,0,0,0,0,0,"37,573,558","40,819,445"
2059 川湖,M資產總額,0,0,0,0,0,0,0,"10,136,419"
2061 風青,M資產總額,0,0,0,0,0,0,"1,258,191","1,215,573"
2062 橋椿,M資產總額,0,0,0,0,0,0,"12,782,978","12,921,078"
2063 世鎧,M資產總額,0,0,0,0,0,0,"1,450,748","1,487,694"
2064 晉椿,M資產總額,0,0,"3,227,473",0,0,0,"3,627,163","3,613,463"
2065 世豐,M資產總額,0,0,0,0,0,0,"1,436,238","1,512,935"
2066 世德,M資產總額,0,0,"1,683,903",0,0,0,"2,109,683","2,209,564"
2067 嘉鋼,M資產總額,0,0,0,0,0,0,"1,386,115","1,424,809"
2069 運錩,M資產總額,0,0,0,0,0,0,"7,662,945","8,246,099"
2070 精湛,M資產總額,0,0,"1,361,579",0,0,0,"1,617,192","1,618,656"
2101 南港,M資產總額,0,0,0,0,0,0,"23,748,336","23,701,279"
2102 泰豐,M資產總額,0,0,0,0,0,0,"15,397,060","15,832,620"
2103 台橡,M資產總額,0,0,0,0,0,0,"28,999,341","29,211,995"
2104 國際中橡,M資產總額,"30,041,696","30,666,778","30,930,839","31,986,125","33,826,157","35,580,417","36,343,662","39,428,496"
2105 正新,M資產總額,0,0,0,0,0,0,"179,084,255","180,379,358"
2106 建大,M資產總額,0,0,0,0,"40,488,834","40,161,405","40,953,042","40,499,712"
2107 厚生,M資產總額,0,0,0,0,0,0,"14,872,533","14,325,753"
2108 南帝,M資產總額,0,0,0,0,0,0,0,"9,025,656"
2109 華豐,M資產總額,0,0,0,0,0,0,"7,315,662","7,124,300"
2114 鑫永銓,M資產總額,0,0,0,0,0,0,"2,762,981","2,880,678"
